! Auto-generated by Reform.

MD5	ee2242e155fd8910921b0f8e04019a3a

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north
Object 8	obj8_south
Object 9	obj9_east
Object 10	obj10_west
Object 11	obj11_northeast
Object 12	obj12_northwest
Object 13	obj13_southeast
Object 14	obj14_southwest
Object 15	obj15_up_above
Object 16	obj16_ground
Object 17	obj17_inside
Object 18	obj18_outside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__Library_Extensions_
Object 24	obj24__LibraryMessages_
Object 25	Treasure
Object 26	Room
Object 27	Aboveground
Object 28	Scenic
Object 29	obj29_At_End_Of_Road
Object 30	obj30_well_house
Object 31	obj31_stream
Object 32	obj32_road
Object 33	obj33_forest
Object 34	obj34_At_Hill_In_Road
Object 35	obj35_hill
Object 36	obj36_other_side_of_hill
Object 37	obj37_Inside_Building
Object 38	obj38_spring
Object 39	obj39_pair_of_1_foot_diameter_sewer_pipes
Object 40	obj40_set_of_keys
Object 41	obj41_tasty_food
Object 42	obj42_brass_lantern
Object 43	obj43_small_bottle
Object 44	obj44_bottled_water
Object 45	obj45_bottled_oil
Object 46	obj46_In_Forest
Object 47	obj47_In_Forest
Object 48	obj48_In_A_Valley
Object 49	obj49_streambed
Object 50	obj50_At_Slit_In_Streambed
Object 51	obj51_2_inch_slit
Object 52	obj52_Outside_Grate
Object 53	obj53_20_foot_depression
Object 54	obj54_steel_grate
Object 55	obj55_Below_the_Grate
Object 56	obj56_cobbles
Object 57	obj57_In_Cobble_Crawl
Object 58	obj58_wicker_cage
Object 59	obj59_In_Debris_Room
Object 60	obj60_debris
Object 61	obj61_note
Object 62	obj62_black_rod_with_a_rusty_star_on_the_end
Object 63	obj63_Sloping_E_W_Canyon
Object 64	obj64_Orange_River_Chamber
Object 65	obj65_little_bird
Object 66	obj66_At_Top_of_Small_Pit
Object 67	obj67_small_pit
Object 68	obj68_crack
Object 69	obj69_mist
Object 70	obj70_In_Hall_of_Mists
Object 71	obj71_wide_stone_staircase
Object 72	obj72_rough_stone_steps
Object 73	obj73_dome
Object 74	obj74_Low_Room
Object 75	obj75_note
Object 76	obj76_large_gold_nugget
Object 77	FissureRoom
Object 78	obj78_On_East_Bank_of_Fissure
Object 79	obj79_West_Side_of_Fissure
Object 80	obj80_diamonds
Object 81	obj81_crystal_bridge
Object 82	obj82_fissure
Object 83	obj83_At_West_End_of_Hall_of_Mists
Object 84	obj84_At_East_End_of_Long_Hall
Object 85	obj85_At_West_End_of_Long_Hall
Object 86	obj86_N_S_and_E_W_Crossover
Object 87	obj87_crossover
Object 88	DeadendRoom
Object 89	obj89__Dead_End_7_
Object 90	obj90_Hall_of_the_Mountain_King
Object 91	obj91_snake
Object 92	obj92_Low_N_S_Passage
Object 93	obj93_bars_of_silver
Object 94	obj94_In_South_Side_Chamber
Object 95	obj95_precious_jewelry
Object 96	obj96_In_West_Side_Chamber
Object 97	obj97_rare_coins
Object 98	obj98_At__Y2_
Object 99	obj99__Y2__rock
Object 100	obj100_Jumble_of_Rock
Object 101	obj101_At_Window_on_Pit
Object 102	PitScenic
Object 103	obj103_window
Object 104	obj104_huge_pit
Object 105	obj105_marks_in_the_dust
Object 106	obj106_shadowy_figure
Object 107	obj107_Dirty_Passage
Object 108	obj108_Brink_of_Pit
Object 109	obj109_small_pit
Object 110	obj110_In_Pit
Object 111	obj111_tiny_slits
Object 112	obj112_In_Dusty_Rock_Room
Object 113	obj113_dusty_rocks
Object 114	MazeRoom
Object 115	obj115__Alike_Maze_1_
Object 116	obj116__Alike_Maze_2_
Object 117	obj117__Alike_Maze_3_
Object 118	obj118__Alike_Maze_4_
Object 119	obj119__Alike_Maze_5_
Object 120	obj120__Alike_Maze_6_
Object 121	obj121__Dead_End_1_
Object 122	obj122__Dead_End_2_
Object 123	obj123__Dead_End_3_
Object 124	obj124__Alike_Maze_7_
Object 125	obj125__Alike_Maze_8_
