! Auto-generated by Reform.

MD5	064272be87de7106192b6fb743c4dfc4

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7__LibraryMessages_
Object 8	obj8__darkness_object_
Object 9	obj9__Inform_Parser_
Object 10	obj10__Inform_Library_
Object 11	obj11__property_numberspace_forcer_
Object 12	K0_kind
Object 13	K1_room
Object 14	K2_thing
Object 15	K3_direction
Object 16	K4_door
Object 17	K5_container
Object 18	K6_supporter
Object 19	K7_backdrop
Object 20	K8_person
Object 21	K9_region
Object 22	K23_man
Object 23	K24_woman
Object 24	K25_animal
Object 25	K26_device
Object 26	K27_vehicle
Object 27	K28_player_s_holdall
Object 28	K105_passkey
Object 29	K106_keychain
Object 30	K123_bdevice
Object 31	K124_on_off_button
Object 32	K125_window
Object 33	K128_scratch_marks
Object 34	K129_finger_prints
Object 35	K130_limb
Object 36	K131_leg
Object 37	K132_arm
Object 38	K133_appendage
Object 39	K134_handkind
Object 40	K135_footkind
Object 41	K140_attire
Object 42	K152_gutter
Object 43	K317_vermin
Object 44	obj44__ValuePropertyHolder_
Object 45	obj45
Object 46	obj46
Object 47	obj47
Object 48	obj48
Object 49	obj49
Object 50	obj50
Object 51	obj51
Object 52	obj52
Object 53	obj53
Object 54	obj54
Object 55	obj55
Object 56	obj56
Object 57	obj57
Object 58	obj58
Object 59	obj59
Object 60	obj60
Object 61	obj61
Object 62	obj62
Object 63	obj63
Object 64	obj64
Object 65	obj65
Object 66	obj66
Object 67	obj67
Object 68	obj68
Object 69	obj69
Object 70	obj70
Object 71	obj71
Object 72	obj72
Object 73	obj73
Object 74	obj74
Object 75	obj75
Object 76	obj76
Object 77	obj77
Object 78	obj78
Object 79	obj79
Object 80	obj80
Object 81	obj81
Object 82	obj82
Object 83	obj83
Object 84	obj84
Object 85	obj85
Object 86	obj86
Object 87	obj87
Object 88	obj88
Object 89	obj89
Object 90	obj90
Object 91	obj91
Object 92	obj92
Object 93	obj93
Object 94	obj94
Object 95	obj95
Object 96	obj96
Object 97	obj97
Object 98	obj98
Object 99	obj99
Object 100	obj100
Object 101	obj101
Object 102	obj102
Object 103	obj103
Object 104	obj104
Object 105	obj105
Object 106	obj106
Object 107	obj107
Object 108	obj108
Object 109	obj109
Object 110	obj110
Object 111	obj111
Object 112	obj112
Object 113	obj113
Object 114	obj114
Object 115	obj115
Object 116	obj116
Object 117	obj117
Object 118	obj118
Object 119	obj119
Object 120	obj120
Object 121	obj121
Object 122	obj122
Object 123	obj123
Object 124	obj124
Object 125	obj125
Object 126	obj126
Object 127	obj127
Object 128	obj128
Object 129	obj129
Object 130	obj130
Object 131	obj131
Object 132	obj132
Object 133	obj133
Object 134	obj134
Object 135	obj135
Object 136	obj136
Object 137	obj137
Object 138	obj138
Object 139	obj139
Object 140	obj140
Object 141	obj141
Object 142	obj142
Object 143	obj143
Object 144	obj144
Object 145	obj145
Object 146	obj146
Object 147	obj147
Object 148	obj148
Object 149	obj149
Object 150	obj150
Object 151	obj151
Object 152	obj152
Object 153	obj153
Object 154	obj154
Object 155	obj155
Object 156	obj156
Object 157	obj157
Object 158	obj158
Object 159	obj159
Object 160	obj160
Object 161	obj161
Object 162	obj162
Object 163	obj163
Object 164	obj164
Object 165	obj165
Object 166	obj166
Object 167	obj167
Object 168	obj168
Object 169	obj169
Object 170	obj170
Object 171	obj171
Object 172	obj172
Object 173	obj173
Object 174	obj174
Object 175	obj175
Object 176	obj176
Object 177	obj177
Object 178	obj178
Object 179	obj179
Object 180	obj180
Object 181	obj181
Object 182	obj182
Object 183	obj183
Object 184	obj184
Object 185	obj185
Object 186	obj186
Object 187	obj187
Object 188	obj188
Object 189	obj189
Object 190	obj190
Object 191	obj191
Object 192	obj192
Object 193	obj193
Object 194	obj194
Object 195	obj195
Object 196	obj196
Object 197	obj197
Object 198	obj198
Object 199	obj199
Object 200	obj200
Object 201	obj201
Object 202	obj202
Object 203	obj203
Object 204	obj204
Object 205	obj205
Object 206	obj206
Object 207	obj207
Object 208	obj208
Object 209	obj209
