! Auto-generated by Reform.

MD5	c043df8624e0e1e9fda92f1a74b6e402

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north
Object 8	obj8_south
Object 9	obj9_east
Object 10	obj10_west
Object 11	obj11_northeast
Object 12	obj12_northwest
Object 13	obj13_southeast
Object 14	obj14_southwest
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	Option
Object 25	Menu
Object 26	SwitchOption
Object 27	obj27__appearance_
Object 28	obj28_soaking_wet
Object 29	obj29_covered_in_grimy_ash
Object 30	obj30_filthy_from_splashing_around_in_the_sewers
Object 31	obj31_smeared_with_smelly_fish_oil
Object 32	obj32_streaked_with_blood_and_gore
Object 33	Outdoor
Object 34	Distant
Object 35	obj35_Miskaton
Object 36	obj36_Anchorhead
Object 37	obj37_lighthouse
Object 38	obj38_sea
Object 39	obj39_paper_mill
Object 40	obj40_tracks
Object 41	obj41_town_square
Object 42	obj42_church
Object 43	obj43_bridge
Object 44	obj44_group_of_townsfolk
Object 45	obj45_university
Object 46	obj46_obelisk
Object 47	obj47__d_crowd_
Object 48	obj48_bum
Object 49	obj49_heath
Object 50	obj50_cupola
Object 51	Michael
Object 52	Key
Object 53	Liquid
Object 54	Rainwater
Object 55	obj55_Rainwater_1
Object 56	obj56_Rainwater_2
Object 57	obj57_Rainwater_3
Object 58	obj58_Rainwater_4
Object 59	obj59_Rainwater_5
Object 60	obj60_Rainwater_6
Object 61	Seawater
Object 62	obj62_Seawater_1
Object 63	obj63_Seawater_2
Object 64	obj64_Seawater_3
Object 65	obj65_Seawater_4
Object 66	obj66_Seawater_5
Object 67	obj67_Seawater_6
Object 68	Riverwater
Object 69	obj69_Riverwater_1
Object 70	obj70_Riverwater_2
Object 71	obj71_Riverwater_3
Object 72	obj72_Riverwater_4
Object 73	obj73_Riverwater_5
Object 74	obj74_Riverwater_6
Object 75	Sewerwater
Object 76	obj76_Sewerwater_1
Object 77	obj77_Sewerwater_2
Object 78	obj78_Sewerwater_3
Object 79	obj79_Sewerwater_4
Object 80	obj80_Sewerwater_5
Object 81	obj81_Sewerwater_6
Object 82	obj82_rain
Object 83	obj83_wind
Object 84	obj84_sky
Object 85	obj85_woods
Object 86	obj86_sea
Object 87	obj87_drifting_flakes_of_ash
Object 88	obj88_wrought_iron_fence
Object 89	obj89_alley
Object 90	obj90__window_
Object 91	obj91_windows
Object 92	obj92_skylight
Object 93	obj93_buildings
Object 94	obj94__street_
Object 95	obj95__pit_
Object 96	obj96_stairs
Object 97	obj97_fireplace
Object 98	obj98_ivy
Object 99	obj99_ladder
Object 100	obj100_printed_sign
Object 101	obj101_umbrella
Object 102	obj102_trenchcoat
Object 103	obj103_clothes
Object 104	obj104_wedding_ring
Object 105	obj105_Outside_the_Real_Estate_Office
Object 106	obj106_real_estate_office_door
Object 107	obj107_Alley
Object 108	obj108_wall
Object 109	obj109_piles_of_cardboard_boxes
Object 110	obj110_garbage_can
Object 111	obj111_fence
Object 112	obj112_transom_window
Object 113	obj113_Narrow_Beach
Object 114	obj114_rocky_outcroppings
Object 115	obj115_outflow_pipe
Object 116	obj116_sewer_water
Object 117	obj117_detritus
Object 118	obj118_Narrow_Street
Object 119	obj119_Local_Pub
Object 120	obj120_bar
Object 121	obj121_locals
Object 122	obj122_table
Object 123	obj123_lantern
Object 124	obj124_drinks
Object 125	obj125_flask
Object 126	obj126_cheap_whiskey
Object 127	obj127_Junction
Object 128	obj128_Mill_Road
Object 129	obj129_cultists
Object 130	obj130_Breakwater
Object 131	obj131_Entrance_to_the_Paper_Mill
Object 132	obj132_paper_mill
Object 133	obj133_gate
Object 134	obj134_brick_wall
Object 135	obj135_Bare_Foundations
Object 136	obj136_rubble
Object 137	obj137_thickets
Object 138	obj138_metal_hatch
Object 139	obj139_Railroad_Tracks
