! Auto-generated by Reform.

MD5	9ba48c72d96ab3e7956a8570b12d34d6

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	Option
Object 25	separator
Object 26	SwitchOption
Object 27	Menu
Object 28	HintTopic
Object 29	Hint
Object 30	Fake_Object
Object 31	Bottle
Object 32	obj32_Limbo
Object 33	obj33_In_the_Mud
Object 34	obj34_muddy_water
Object 35	obj35_mud
Object 36	Outside
Object 37	obj37_Graveyard
Object 38	obj38_stone_markers
Object 39	obj39_oak_branch
Object 40	obj40_broken_limb
Object 41	obj41_disturbed_grave
Object 42	obj42_moss_and_mold
Object 43	obj43_West_Side_of_the_Church
Object 44	obj44_muddy_trail
Object 45	obj45_North_Side_of_the_Church
Object 46	obj46_faint_path
Object 47	obj47_East_Side_of_the_Church
Object 48	obj48_graveled_clearing
Object 49	obj49_handful_of_gravel
Object 50	obj50_debris
Object 51	obj51_Front_of_the_Church
Object 52	obj52_oak_trees
Object 53	obj53_guard_dog
Object 54	obj54_chain
Object 55	obj55_Top_of_Oak_Tree
Object 56	obj56_tree_branch
Object 57	obj57_sidewalk
Object 58	obj58_driveway
Object 59	obj59_ivy
Object 60	obj60_oak_trees
Object 61	obj61_storm
Object 62	obj62_rain
Object 63	obj63_mud
Object 64	obj64_grasses_and_weeds
Object 65	obj65_church
Object 66	obj66_steeple
Object 67	obj67_windows
Object 68	obj68_Church_Porch
Object 69	obj69_white_picket_railing
Object 70	obj70_broken_length_of_railing
Object 71	obj71_top_of_railing
Object 72	Inside
Object 73	obj73_Vestibule
Object 74	obj74_trap_door
Object 75	obj75_Sanctuary
Object 76	obj76_pulpit
Object 77	obj77_pews
Object 78	obj78_Near_Painting
Object 79	obj79_eyes_of_painting
Object 80	obj80__Distant_Bottles_
Object 81	obj81_green_bottle
Object 82	obj82_blue_bottle
Object 83	obj83_Pulpit
Object 84	obj84_podium
Object 85	obj85_large_black_book
Object 86	obj86_painting
Object 87	obj87_eyes_in_painting
Object 88	obj88_Small_Office
Object 89	obj89_desk
Object 90	obj90_bookshelf
Object 91	obj91_old_grimoire
Object 92	obj92_journal
Object 93	obj93_pile_of_ash
Object 94	obj94_handful_of_ashes
Object 95	obj95_broken_shards_of_glass
Object 96	obj96_heavy_stopper
Object 97	obj97_embroidered_robe
Object 98	obj98_Steeple_Chamber
Object 99	obj99_Inner_Chamber
Object 100	obj100__Steeple_Door_
Object 101	obj101_curtain
Object 102	obj102_mirror
Object 103	obj103_holes_in_the_wall
Object 104	obj104_heavy_wooden_table
Object 105	obj105_oil_lantern
Object 106	obj106_pair_of_glass_bottles
Object 107	obj107_blue_bottle
Object 108	obj108_green_bottle
Object 109	obj109_old_sofa
Object 110	obj110__Old_Man_
Object 111	obj111_Belfry
Object 112	obj112_bell
Object 113	obj113_heavy_rope
Object 114	obj114_beams
Object 115	obj115_town
Object 116	obj116_debris
Object 117	obj117_broken_windows
Object 118	obj118_The_Awakening
Object 119	obj119_For_new_players
Object 120	obj120_About_this_game
Object 121	obj121_Credits_and_Acknowledgments
Object 122	obj122_License_and_Copyright_info
Object 123	obj123_Hints___
Object 124	obj124_Walkthru
Object 125	obj125_Hints
Object 126	obj126_In_the_Mud
Object 127	obj127_How_do_I_get_out_of_here_
Object 128	obj128_Try_going_up_
Object 129	obj129_Outside_the_Church
Object 130	obj130_What_can_I_do_in_the_graveyard_
Object 131	obj131_Not_much___
Object 132	obj132_Look_around_some_
Object 133	obj133_You_could_pick_up_the_broken_limb_
