! Auto-generated by Reform.

MD5	5e56a6e5cdeecded434a8fd8012fc2c6

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	Weapon
Object 25	TopicClass
Object 26	obj26__Holder_
Object 27	obj27__Shoe_
Object 28	obj28__WinGame_
Object 29	obj29_topics
Object 30	obj30_Elevator
Object 31	obj31_Name
Object 32	obj32_Spirit
Object 33	obj33_Deephome
Object 34	obj34_Eldantar
Object 35	obj35_Prophecy
Object 36	obj36_Kraxis
Object 37	obj37_Telleen
Object 38	obj38_Tiras
Object 39	obj39_Few
Object 40	obj40_Dwarves
Object 41	obj41_Elves
Object 42	obj42_Humans
Object 43	obj43_Indanaz
Object 44	obj44_Cholok
Object 45	obj45_Kebarn
Object 46	obj46_Hashar
Object 47	obj47_Ternalim
Object 48	obj48_Yetzuiz
Object 49	obj49_Partaim
Object 50	obj50_Manaz
Object 51	obj51_Squirrel
Object 52	obj52_Eranti
Object 53	obj53_Hammer
Object 54	obj54_Terrock
Object 55	Book
Object 56	Room
Object 57	ORoom
Object 58	obj58__Spell_
Object 59	obj59_ground
Object 60	obj60_Kraxis
Object 61	obj61__PrayerCounter_
Object 62	obj62_lantern
Object 63	obj63_King_s_Order
Object 64	obj64_Secret_Entrance
Object 65	obj65_wooden_door
Object 66	obj66_tree
Object 67	obj67_house
Object 68	obj68_mountain
Object 69	obj69_symbols
Object 70	obj70_Northern_Guard_Post
Object 71	obj71_cabinet
Object 72	obj72_Sword
Object 73	obj73_shield
Object 74	obj74_fireplace
Object 75	obj75_table
Object 76	obj76_letter
Object 77	obj77_Main_Hall
Object 78	obj78_staircase
Object 79	obj79_warning_note
Object 80	obj80_Dark_Spirit
Object 81	obj81_magical_torch
Object 82	obj82_magical_torches
Object 83	obj83_elevators
Object 84	obj84_Dwarven_Village
Object 85	obj85_stairways
Object 86	obj86_doors
Object 87	obj87_Railway_Station
Object 88	obj88_cables
Object 89	obj89_rail_car
Object 90	obj90_buttons
Object 91	obj91_yellow_button
Object 92	obj92_green_button
Object 93	obj93_red_button
Object 94	obj94_N__Main_Street
Object 95	obj95_booths
Object 96	obj96_shops
Object 97	obj97_Clothier
Object 98	obj98_mannequins
Object 99	obj99_table
Object 100	obj100_chalk_lines
Object 101	obj101_tools
Object 102	obj102_slots
Object 103	obj103_Bakery
Object 104	obj104_ovens
Object 105	obj105_rotted_bags
Object 106	obj106_pipe
Object 107	obj107_cistern
Object 108	obj108_bottle_water
Object 109	obj109_bottle
Object 110	obj110_water
Object 111	obj111_Scrivener_s
Object 112	obj112_desks
Object 113	obj113_pile_of_papers
Object 114	obj114_blank_paper
Object 115	obj115_ashes
Object 116	obj116_chair
Object 117	obj117_S__Main_Street
Object 118	obj118_library
Object 119	obj119_temple
Object 120	obj120_Dwarven_Library
Object 121	obj121_mural
Object 122	obj122_books
Object 123	obj123_stairs
Object 124	obj124_Fresto_s_Excorcisms_and_Tasty_Hors_Devours
Object 125	obj125_Leshosh_s_Encyclopedia
Object 126	obj126_Great_Temple_of_Kraxis
Object 127	obj127_pig_headed_statue
Object 128	obj128_altar
Object 129	obj129_tiles
Object 130	obj130_murals
Object 131	obj131_dung
Object 132	obj132_Intersection
Object 133	obj133_sign_post
Object 134	obj134_Eastern_Guard_Post
Object 135	obj135_heavy_doors
Object 136	obj136_weapons_racks
Object 137	obj137_City_Gates
Object 138	obj138_chain
Object 139	obj139_control_panel
Object 140	obj140_hatch
Object 141	obj141_peg
Object 142	obj142_portcullis
Object 143	obj143_red_button
Object 144	obj144_lever
