! Auto-generated by Reform.

MD5	96d314997e5d3a5a793c83845977d44d

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	room
Object 25	room_d
Object 26	fixed
Object 27	set
Object 28	prop
Object 29	far
Object 30	npc
Object 31	keys
Object 32	obj32_lost_bag
Object 33	obj33_temp_bag
Object 34	obj34_Forbidding_Castle
Object 35	obj35_castle_door
Object 36	obj36_small_silver_bell
Object 37	obj37_walls
Object 38	obj38_castle
Object 39	obj39_scrub
Object 40	obj40_exits
Object 41	obj41_sky
Object 42	obj42_Castle_Forge
Object 43	obj43_brass_lamp
Object 44	obj44_walls
Object 45	obj45_castle
Object 46	obj46_forge
Object 47	obj47_scrub
Object 48	obj48_exits
Object 49	obj49_sky
Object 50	obj50_Wasteland_by_a_Castle
Object 51	obj51_old_delivery_bicycle
Object 52	obj52_bicycle_basket
Object 53	obj53_grass
Object 54	obj54_castle
Object 55	obj55_wasteland
Object 56	obj56_gulls
Object 57	obj57_exits
Object 58	obj58_sky
Object 59	obj59_water
Object 60	obj60_Pebbled_Beach
Object 61	obj61_parachute
Object 62	obj62_water
Object 63	obj63_ground
Object 64	obj64_lighthouse
Object 65	obj65_gulls
Object 66	obj66_exits
Object 67	obj67_sky
Object 68	obj68_Beside_a_Ruined_Lighthouse
Object 69	obj69_water
Object 70	obj70_ground
Object 71	obj71_lighthouse
Object 72	obj72_lighthouse
Object 73	obj73_beach
Object 74	obj74_gulls
Object 75	obj75_exits
Object 76	obj76_sky
Object 77	obj77_North_End_of_a_Road
Object 78	obj78_wooden_signpost
Object 79	obj79_huge_Troll_with_a_club
Object 80	obj80_dead_troll
Object 81	obj81_big_hunting_horn
Object 82	obj82_large_wooden_club
Object 83	obj83_trees
Object 84	obj84_road
Object 85	obj85_exits
Object 86	obj86_sky
Object 87	obj87_South_End_of_a_Road
Object 88	obj88_signpost
Object 89	obj89_trees
Object 90	obj90_road
Object 91	obj91_exits
Object 92	obj92_sky
Object 93	obj93_Lake_in_the_Forest
Object 94	obj94_water
Object 95	obj95_long_reeds
Object 96	obj96_brown_hessian_sack
Object 97	obj97_reed_flute
Object 98	obj98_trees
Object 99	obj99_road
Object 100	obj100_fish
Object 101	obj101_dragonflies
Object 102	obj102_sea
Object 103	obj103_grass
Object 104	obj104_exits
Object 105	obj105_sky
Object 106	obj106_Tree_Stump
Object 107	obj107_hollow_tree_stump
Object 108	obj108_box_of_matches
Object 109	obj109_trees
Object 110	obj110_lake
Object 111	obj111_butterflies
Object 112	obj112_birds
Object 113	obj113_grass
Object 114	obj114_exits
Object 115	obj115_sky
Object 116	obj116_Swampy_Ground
Object 117	obj117_little_man
Object 118	obj118_large_cardboard_box
Object 119	obj119_instruction_sheet
Object 120	obj120_water
Object 121	obj121_grass
Object 122	obj122_exits
Object 123	obj123_sky
Object 124	obj124_Cave_Entrance
Object 125	obj125_cave
Object 126	obj126_grass
Object 127	obj127_exits
Object 128	obj128_sky
Object 129	obj129_Cottage
Object 130	obj130_cottage
Object 131	obj131_roof
Object 132	obj132_door
Object 133	obj133_walls
Object 134	obj134_grass
Object 135	obj135_garden
Object 136	obj136_exits
Object 137	obj137_sky
Object 138	obj138_Forest_Pathway
Object 139	obj139_empty_stone_bird_bath
Object 140	obj140_small_candle_stub
Object 141	obj141_water
Object 142	obj142_trees
Object 143	obj143_ferns
Object 144	obj144_birds
Object 145	obj145_grass
Object 146	obj146_exits
Object 147	obj147_sky
Object 148	obj148_Rocky_Mountains
Object 149	obj149_woodland
Object 150	obj150_building
