! Auto-generated by Reform.

MD5	f275ddf32ce8a9e744d53c3b99c5a658

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north
Object 8	obj8_south
Object 9	obj9_east
Object 10	obj10_west
Object 11	obj11_northeast
Object 12	obj12_northwest
Object 13	obj13_southeast
Object 14	obj14_southwest
Object 15	obj15_up_above
Object 16	obj16_ground
Object 17	obj17_inside
Object 18	obj18_outside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__Library_Extensions_
Object 24	GTHintMenu
Object 25	obj25__LibraryMessages_
Object 26	Item
Object 27	Room
Object 28	MappableRoom
Object 29	Character
Object 30	Event
Object 31	obj31__suppressor_
Object 32	RG_IN_COTTAGE
Object 33	RG_CAVE_SYSTEM
Object 34	RG_CELLAR_DUNGEON
Object 35	RG_OUTDOORS
Object 36	Phony
Object 37	Bowl
Object 38	Porridge
Object 39	obj39_In_the_kitchen
Object 40	obj40_dining_table
Object 41	obj41_spoon
Object 42	obj42_large_bowl
Object 43	obj43__large_porridge_
Object 44	obj44_medium_sized_bowl
Object 45	obj45__medium_porridge_
Object 46	obj46_tiny_little_bowl
Object 47	obj47__tiny_porridge_
Object 48	obj48_fireplace
Object 49	obj49_ash
Object 50	obj50_kitchen_dresser
Object 51	obj51_gigantic_bowl
Object 52	obj52__gigantic_porridge_
Object 53	obj53_ground
Object 54	obj54_In_the_hall
Object 55	obj55_bearskin_rug
Object 56	obj56_trapdoor
Object 57	obj57_portraits
Object 58	obj58_hunting_trophies
Object 59	obj59_front_door
Object 60	obj60_In_the_pantry
Object 61	obj61_freezer
Object 62	obj62_packet_of_frozen_pork_chops
Object 63	obj63_shelf
Object 64	obj64_cartons_of_porridge_oats
Object 65	obj65_carton_of_porridge_oats
Object 66	obj66_pendant
Object 67	obj67_matchbox
Object 68	obj68_matches
Object 69	obj69_mousetrap
Object 70	obj70_dead_mouse
Object 71	obj71_wedge_of_cheese
Object 72	obj72_mouse_droppings
Object 73	obj73_ground
Object 74	obj74_In_a_clearing_in_the_forest
Object 75	obj75_sign
Object 76	obj76_path
Object 77	obj77_In_the_enchanted_forest
Object 78	obj78_log
Object 79	obj79_wooden_sign
Object 80	obj80_pedlar
Object 81	obj81_pedlar_s_bunions
Object 82	obj82_battered_suitcase
Object 83	obj83_small_packet
Object 84	obj84_magic_bean
Object 85	obj85_Goldilocks
Object 86	obj86_wristwatch
Object 87	obj87__distressed__Laura_Ashley_dress
Object 88	obj88_my_tights
Object 89	obj89_my_boots
Object 90	obj90_my_dreadlocks
Object 91	obj91_my_hangover
Object 92	obj92_In_the_sitting_room
Object 93	obj93_large_chair
Object 94	obj94_antimacassar
Object 95	obj95_medium_sized_chair
Object 96	obj96_tiny_little_chair
Object 97	obj97_chair_s_button
Object 98	obj98_button
Object 99	obj99_small_coffee_table
Object 100	obj100_copy_of__Hail___magazine
Object 101	obj101_carpet
Object 102	obj102_knick_knacks
Object 103	obj103_glass_animals
Object 104	obj104_small_hinged_panel
Object 105	obj105_small_red_handle
Object 106	obj106_Inside_the_medium_sized_chair
Object 107	obj107_pair_of_very_thick_spectacles
Object 108	obj108_On_the_porch
Object 109	obj109__empty_milkbottle_
Object 110	obj110_crumpled_note
Object 111	obj111_notice
Object 112	obj112_battered_old_dustbin
Object 113	obj113_doorbell
Object 114	obj114_In_a_cave
Object 115	obj115_wall_socket
Object 116	obj116_refridgerator
Object 117	obj117_can_of_beer
Object 118	obj118_TV_remote_control
Object 119	obj119__buy__button
Object 120	obj120__channel__button
Object 121	obj121_television
Object 122	obj122_solid_metal_door
Object 123	obj123_pin_ups
Object 124	obj124_cave
Object 125	obj125_electric_socket
Object 126	obj126_mechanism
Object 127	obj127_On_the_roof
Object 128	obj128_In_the_garden
Object 129	obj129_vegetable_plot
Object 130	obj130_overripe_pumpkin
Object 131	obj131_some_leaves
Object 132	obj132_ornamental_pond
Object 133	obj133_overgrown_pergola
