! Auto-generated by Reform.

MD5	1ea91a064941a3f612b20833f0a47df7

Object 1	obj1_sawhorse
Object 2	obj2_South_Junction
Object 3	obj3_copy_of_the_film__A_Corpse_Line_
Object 4	obj4_your_hand
Object 5	obj5_Parlor
Object 6	obj6_closet
Object 7	obj7_parking_meter
Object 8	obj8_left_end_of_the_plank
Object 9	obj9_white_wax_statuette
Object 10	obj10_Inlet
Object 11	obj11_newel_in_the_shape_of_Roger_Corman_s_head
Object 12	obj12_scale_model_of_downtown_Tokyo
Object 13	obj13_window
Object 14	obj14_small_pond
Object 15	obj15_Prop_Vault
Object 16	obj16_big_stick
Object 17	obj17_Shaft_Bottom
Object 18	obj18_blue_candle_wax
Object 19	obj19_red_match
Object 20	obj20_yourself
Object 21	obj21_indigo_punch_card
Object 22	obj22_pair_of_red_wax_feet
Object 23	obj23_In_the_Chimney
Object 24	obj24_patio_door
Object 25	obj25_black_button
Object 26	obj26_stuffed_penguin
Object 27	obj27_salivating_hedge_shears
Object 28	obj28_Kitchen
Object 29	obj29_Southwest_Junction
Object 30	obj30_cannon_ball
Object 31	obj31_lights
Object 32	obj32_hedge_maze
Object 33	obj33_Dining_Room
Object 34	obj34_Cellar
Object 35	obj35_sawed_off_peg
Object 36	obj36_Work_Room
Object 37	obj37_Ledge
Object 38	obj38_direction
Object 39	obj39
Object 40	obj40_third_coat_peg
Object 41	obj41_second_coat_peg
Object 42	obj42_brick_chimney
Object 43	obj43_Underwater_Passage
Object 44	obj44_green_punch_card
Object 45	obj45_West_End_of_Roof
Object 46	obj46_first_coat_peg
Object 47	obj47_square_pillar
Object 48	obj48_In_the_Chimney
Object 49	obj49_missing_peg
Object 50	obj50_yourself
Object 51	obj51_chute
Object 52	obj52
Object 53	obj53_her
Object 54	obj54_pair_of_white_wax_feet
Object 55	obj55_hole
Object 56	obj56_Upstairs_Hall__East
Object 57	obj57_Jack_Valenti_bath_mat
Object 58	obj58_Patio
Object 59	obj59_long__greasy_chain
Object 60	obj60_rusty_bucket
Object 61	obj61_automatic_stake_driver
Object 62	obj62_business_card
Object 63	obj63_yellow_punch_card
Object 64	obj64_portrait_of_Aunt_Hildegarde_and_Uncle_Buddy
Object 65	obj65_rope
Object 66	obj66_photo_of_Uncle_Buddy
Object 67	obj67_right_end_of_the_plank
Object 68	obj68
Object 69	obj69_Projection_Booth
Object 70	obj70_it
Object 71	obj71_wall
Object 72	obj72_Garden__East
Object 73	obj73_pair_of_blue_wax_feet
Object 74	obj74_wax_coating
Object 75	obj75_hairy_club
Object 76	obj76_wax_coating
Object 77	obj77_Top_Landing
Object 78	obj78_Middle_of_Beach_Stairs
Object 79	obj79_Living_Room
