! Auto-generated by Reform.

MD5	253b02c8012710577085b9fd3a155cb7

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_outside
Object 8	obj8_inside
Object 9	obj9__darkness_object_
Object 10	obj10__self_object_
Object 11	obj11__Inform_Parser_
Object 12	obj12__Inform_Library_
Object 13	obj13_lib_messages
Object 14	obj14__propdummy_
Object 15	Objexit
Object 16	BodyPart
Object 17	obj17__self_object_
Object 18	obj18_leg
Object 19	obj19_wrist
Object 20	obj20_arm
Object 21	obj21_hands
Object 22	obj22_body
Object 23	obj23_bloody_wound
Object 24	Bolt
Object 25	CrossbowPart
Object 26	obj26_crossbow
Object 27	obj27_leaf_laths
Object 28	obj28_bowstring
Object 29	obj29_cocking_lever
Object 30	obj30_stock
Object 31	obj31_mechanism
Object 32	obj32_thighband
Object 33	obj33__bolt1_
Object 34	obj34__bolt2_
Object 35	obj35__bolt3_
Object 36	obj36__bolt4_
Object 37	obj37__bolt5_
Object 38	obj38_lamplens
Object 39	obj39_cloth_strips
Object 40	obj40_Branching_Cave
Object 41	obj41_narrow_crawl
Object 42	obj42_side_chamber
Object 43	obj43_low_passage
Object 44	obj44_chimney
Object 45	obj45_beast
Object 46	obj46_bats
Object 47	obj47_Crawl_At_Pit
Object 48	obj48_crawl_back
Object 49	obj49_pit
Object 50	obj50_crawl_ahead
Object 51	obj51_smear_of_blood
Object 52	obj52_Edge_Of_Pit
Object 53	obj53_crawl_back
Object 54	obj54_pit
Object 55	obj55_ledge
Object 56	obj56_Narrow_Ledge
Object 57	obj57_pit_above
Object 58	obj58_pit_below
Object 59	LedgePassage
Object 60	obj60_left_side_passage
Object 61	obj61_right_side_passage
Object 62	obj62_stone_blades
Object 63	obj63_rope
Object 64	obj64_claw
Object 65	obj65_Hanging_From_a_Rope
Object 66	obj66_pit_below
Object 67	obj67_rope
Object 68	obj68_ledge
Object 69	obj69_claw
Object 70	obj70_stone_blades
Object 71	obj71_Bottom_of_Pit
Object 72	obj72_narrow_crawl
Object 73	obj73_shaft_above
Object 74	obj74_corpse
Object 75	obj75_rags
Object 76	obj76_rotten_flesh
Object 77	obj77_water
Object 78	obj78_stone_blades
Object 79	obj79_mud
Object 80	obj80_bats
Object 81	TunnelClass
Object 82	TunnelExitBack
Object 83	TunnelExitFore
Object 84	TunnelWater
Object 85	obj85_Tight_Crawl
Object 86	obj86__tun1_back_
Object 87	obj87__tun1_fore_
Object 88	obj88_Tight_Crawl
Object 89	obj89__tun2_back_
Object 90	obj90__tun2_fore_
Object 91	obj91_Tight_Crawl
Object 92	obj92__tun3_back_
Object 93	obj93__tun3_fore_
Object 94	obj94__tun3_water_
Object 95	obj95_Tight_Crawl
Object 96	obj96__tun4_back_
Object 97	obj97__tun4_fore_
Object 98	obj98__tun4_water_
Object 99	obj99_Tight_Crawl
Object 100	obj100__tun5_back_
Object 101	obj101__tun5_fore_
Object 102	obj102__tun5_water_
Object 103	obj103_Tight_Crawl
Object 104	obj104__tun6_back_
Object 105	obj105__tun6_fore_
Object 106	obj106__MazeCache_
Object 107	obj107__Maze_
Object 108	MazeExit
Object 109	obj109__BUG_
Object 110	obj110__BUG_
Object 111	obj111__BUG_
Object 112	obj112_formations
Object 113	obj113_pool
Object 114	obj114_mud
Object 115	obj115_sand
Object 116	obj116_small_stones
Object 117	obj117_bats
Object 118	obj118_smell
Object 119	obj119_Top_of_Slope
Object 120	obj120_slope_beside_you
Object 121	obj121_slope_above
Object 122	obj122_slope_below
Object 123	obj123_narrow_crevice
Object 124	obj124_unseen_light
Object 125	obj125_beast
Object 126	obj126_Base_of_Canyon
Object 127	obj127_canyon_slope
Object 128	obj128_crawl_behind
Object 129	obj129_canyon_to_either_side
Object 130	obj130_ahead
Object 131	obj131_crevice
Object 132	obj132_rushing_water
Object 133	obj133_roof
Object 134	obj134_pool_of_blood
Object 135	obj135_bats
Object 136	obj136_Canyon_Wall
Object 137	obj137_way_back
Object 138	obj138_path_up
Object 139	obj139_Wumpus
Object 140	obj140_puddle_of_blood
