! Auto-generated by Reform.

MD5	425fa66869309d7ed7f8ef04a492fbb7

Object 1	obj1_tiny_needle
Object 2	obj2_jeweled_ring
Object 3	obj3_calcified_hand
Object 4	obj4_skeleton
Object 5	obj5_line
Object 6	obj6_granite_table
Object 7	obj7_silver_chalice
Object 8	obj8_golden_chalice
Object 9	obj9_granite_table
Object 10	obj10_Silver_Alcove
Object 11	obj11_Silver_Room
Object 12	obj12
Object 13	obj13_Golden_Alcove
Object 14	obj14_glittering_leaf
Object 15	obj15_Golden_Room
Object 16	obj16_Inner_Chamber
Object 17	obj17_Temple_Chamber
Object 18	obj18_Steep_Passageway
Object 19	obj19_Steep_Passageway
Object 20	obj20_Steep_Passageway
Object 21	obj21_button
Object 22	obj22_navigation_box
Object 23	obj23_packing_crate
Object 24	obj24_quantity_of_sand
Object 25	obj25_mirage
Object 26	obj26_Desert
Object 27	obj27_inspection_sticker
Object 28	obj28_canteen
Object 29	obj29_quantity_of_water
Object 30	obj30_farewell_note
Object 31	obj31_knapsack
Object 32	obj32_rope
Object 33	obj33_shovel
Object 34	obj34_piece_of_dried_beef
Object 35	obj35_ancient_map
Object 36	obj36_stone_cube
Object 37	obj37_pick_axe
Object 38	obj38_padlock
Object 39	obj39_trunk
Object 40	obj40_broken_lock
Object 41	obj41_cigarette_pack
Object 42	obj42_burned_wrapper
Object 43	obj43_manual
Object 44	obj44_matchbook
Object 45	obj45_burned_matchbook
Object 46	obj46_match
Object 47	obj47_single_match
Object 48	obj48_few_matches
Object 49	obj49_matchbook
Object 50	obj50_folded_cot
Object 51	obj51_army_cot
Object 52	obj52_opening
Object 53	obj53_Desert
Object 54	obj54_Desert
Object 55	obj55_Desert
Object 56	obj56_Desert
Object 57	obj57_Desert
Object 58	obj58_Desert
Object 59	obj59_Desert
Object 60	obj60_Desert
Object 61	obj61_Desert
Object 62	obj62_Work_Tent
Object 63	obj63_Southern_Path
Object 64	obj64_Outside_Work_Tent
Object 65	obj65_Southern_Path
Object 66	obj66_Middle_Path
Object 67	obj67_blackened_rocks
Object 68	obj68_Outside_Supply_Tent
Object 69	obj69_Supply_Tent
Object 70	obj70_Northern_Path
Object 71	obj71_Your_Tent
Object 72	obj72_Outside_Your_Tent
