! Auto-generated by Reform.

MD5	1eef9c0fa009ca4adf4872cfc5249d45

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23_gleaming_silver_sword
Object 24	obj24_fine_pair_of_glowing_hands
Object 25	obj25__LibraryMessages_
Object 26	obj26_Rocky_Plateau__Sixth_Layer
Object 27	obj27_lava_rocks
Object 28	obj28_ceiling_hole
Object 29	obj29_body
Object 30	obj30_travelling_sack
Object 31	obj31_moon_salt
Object 32	obj32_Cool_Cavern
Object 33	obj33_Unimpressive_Grotto
Object 34	obj34_cave
Object 35	obj35_Mineralized_Corridor
Object 36	obj36_minerals
Object 37	obj37_onyx
Object 38	obj38_garnet
Object 39	obj39_quartz
Object 40	obj40_opal
Object 41	obj41_fault_line
Object 42	obj42_Tight_Fit
Object 43	obj43_narrow_hole
Object 44	obj44_Fifth_Layer_Dropoff
Object 45	obj45_Book_of_the_Dragons
Object 46	obj46_gaping_hole
Object 47	obj47_Sixth_Layer
Object 48	obj48_steep_outcrops
Object 49	obj49_firebug
Object 50	obj50_The_Amylyan_Druids__Temple
Object 51	obj51_hazy_mist
Object 52	obj52_Amylyan_High_Priest
Object 53	obj53_ebony_key
Object 54	obj54_Narrow_Passage
Object 55	obj55_narrow_crack
Object 56	obj56_Gaseous_Geyser
Object 57	obj57_vapor
Object 58	obj58_geyser
Object 59	obj59_porous_wall
Object 60	obj60_Shaft_Base
Object 61	obj61_Middle_Shaft
Object 62	obj62_Top_of_the_Shaft
Object 63	obj63_ledge
Object 64	obj64_arm
Object 65	obj65_mineral_veins
Object 66	obj66_On_the_Ledge
Object 67	obj67_body
Object 68	obj68_clothing
Object 69	obj69_crossbow
Object 70	obj70_arrow
Object 71	obj71_scarlet_sash
Object 72	obj72_leather_boots
Object 73	obj73_bulge
Object 74	obj74_lockpick
Object 75	obj75_passage
Object 76	obj76_Quarry
Object 77	obj77_refuse
Object 78	obj78_pickaxe
Object 79	obj79_East_West_Passage
Object 80	obj80_Carved_Steps
Object 81	obj81_stalactites
Object 82	obj82_carved_steps
Object 83	obj83_Moss_Filled_Cave
Object 84	obj84_spongy_moss
Object 85	obj85_dirty_floor
Object 86	obj86_trapdoor
Object 87	obj87_Cleaning_Closet
Object 88	obj88_lye
Object 89	obj89_Fungus_Forest
Object 90	obj90_fungus
Object 91	obj91_red_and_white_mushroom
Object 92	obj92_round_object
Object 93	obj93_Lonely_Burial_Ground
Object 94	obj94_droplets_of_water
Object 95	obj95_skeleton
Object 96	obj96_air_bladder
Object 97	obj97_label
Object 98	obj98_crampons
Object 99	obj99_Frozen_Foyer
Object 100	obj100_rocks
Object 101	obj101_ice_block
Object 102	obj102_Cool_Crawl_Space
Object 103	obj103_The_White_Dragon_s_Lair
Object 104	obj104_ice_and_snow
Object 105	obj105_White_Dragon
Object 106	obj106_claws
Object 107	obj107_coat_of_many_colors
Object 108	obj108_tail
Object 109	obj109_eyes
Object 110	obj110_fang
Object 111	obj111_mouth
Object 112	obj112_White_Dragon_s_Antechamber
Object 113	obj113_treasure
Object 114	obj114_Lava_Tubes
Object 115	obj115_Molten_Landscape
Object 116	obj116_lava_river_et_al_
Object 117	obj117_Molten_Landscape
Object 118	obj118_lava_river_et_al_
Object 119	obj119_Fiery_Inferno
Object 120	obj120_cave
Object 121	obj121_river_of_lava
Object 122	obj122_In_the_Lava_River
Object 123	obj123_lava
Object 124	obj124_Lava_River_Bed
Object 125	obj125_Ebony_Expanse
Object 126	obj126_strange_fossilized_outcroppings
Object 127	obj127_Gypsum_Flower_Gardens
