! Auto-generated by Reform.

MD5	ec55791be814db3663ad1aec0d6b7690

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	obj5_GameController
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_southeast_wall
Object 13	obj13_northwest_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19_Darkness
Object 20	obj20_yourself
Object 21	obj21__
Object 22	carrier
Object 23	fluid
Object 24	table_top
Object 25	takeable
Object 26	rope
Object 27	reactor_button
Object 28	obj28_floppy_felt_hat
Object 29	obj29_tweed_jacket
Object 30	obj30_incredibly_long_scarf
Object 31	obj31_long_rope
Object 32	obj32_yo_yo
Object 33	obj33_TARDIS_key
Object 34	obj34_Console_Room
Object 35	obj35_main_doors
Object 36	obj36_TARDIS_console
Object 37	obj37_tiny_drawer
Object 38	obj38_fluid_link
Object 39	obj39_time_rotor
Object 40	obj40_slot
Object 41	obj41_scanner
Object 42	obj42_red_lever
Object 43	obj43_green_button
Object 44	obj44_Corridor
Object 45	obj45_Corridor
Object 46	obj46_Storage_Room
Object 47	obj47_Workshop
Object 48	obj48_workbench
Object 49	obj49_cupboard
Object 50	obj50_small_cloth_pouch
Object 51	obj51_door
Object 52	obj52_toolkit
Object 53	obj53_brown_card
Object 54	obj54_silver_card
Object 55	obj55_gold_card
Object 56	obj56_sonic_screwdriver
Object 57	obj57_homing_device
Object 58	obj58_K9
Object 59	obj59_small_panel
Object 60	obj60_K9
Object 61	obj61_TARDIS
Object 62	obj62_Rocky_Clearing
Object 63	obj63_Mountain_Trail
Object 64	obj64_Rocky_Trail
Object 65	obj65_Rocky_Trail
Object 66	obj66_Lakeside
Object 67	obj67_lake_water
Object 68	obj68_Ledge
Object 69	obj69_signpost
Object 70	obj70_Plain
Object 71	obj71_incredibly_long_scarf
Object 72	obj72_ledge
Object 73	obj73_flying_saucer
Object 74	obj74_thrusters
Object 75	obj75_scorch_marks
Object 76	obj76_flying_saucer
Object 77	obj77_On_Top_of_the_Saucer
Object 78	obj78_flying_saucer
Object 79	obj79_incredibly_long_scarf
Object 80	obj80_hatch
Object 81	obj81_battery
Object 82	obj82_Mountain_Trail
Object 83	obj83_Mountain_Trail
Object 84	obj84_Mountain_Trail
Object 85	obj85_Mountain_Trail
Object 86	obj86_Mountain_Trail
Object 87	obj87_withered_tree
Object 88	obj88_branches
Object 89	obj89_withered_branch
Object 90	obj90_Narrow_Cleft
Object 91	obj91_Bottom_of_Cliff
Object 92	obj92_Morbius__body
Object 93	obj93_cliff
Object 94	obj94_brain_case
Object 95	obj95_Ruins
Object 96	obj96_rubble
Object 97	obj97_scalpel
Object 98	obj98_stone_steps
Object 99	obj99_Stoney_Trail
Object 100	obj100_Stoney_Trail
Object 101	obj101_Above_Clearing
Object 102	obj102_huge_boulder
Object 103	obj103_huge_boulder
Object 104	obj104_small_silvery_stone
Object 105	obj105_small_dull_stone
Object 106	obj106_tiny_space
Object 107	obj107_passageway
Object 108	obj108_Dark_Passage
Object 109	obj109_Dark_Passage
Object 110	obj110_Before_Temple
Object 111	obj111_temple_doors
Object 112	obj112_Temple_of_the_Sisterhood_of_Karn
Object 113	obj113_wooden_door
Object 114	obj114_tapestry
Object 115	obj115_Temple_of_the_Sisterhood_of_Karn
Object 116	obj116_wooden_door
Object 117	obj117_Antechamber
Object 118	obj118_Temple_doors
Object 119	obj119_metal_shield
Object 120	obj120_Flame_of_Life
Object 121	obj121_silver_liquid
Object 122	obj122_ledge
Object 123	obj123_golden_chalice
Object 124	obj124_colourless_liquid
Object 125	obj125_murky_liquid
Object 126	obj126_metal_shield
Object 127	obj127_golden_chalice
Object 128	obj128_tapestry
Object 129	obj129_Ohica
Object 130	obj130_Docking_Bay
Object 131	obj131_Storage_Room
Object 132	obj132_Reactor_Room
Object 133	obj133_anti_matter_reactor
Object 134	obj134_control_bank
Object 135	obj135_switch
