! Auto-generated by Reform.

MD5	31a0c1e360dce94aa5bece5240691d17

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	obj24_Queryable_objects
Object 25	Bags_of_Wool
Object 26	Curtains
Object 27	Doors
Object 28	Drawers
Object 29	Litter
Object 30	Locks
Object 31	Places
Object 32	Windows
Object 33	Wool
Object 34	obj34__self_object_
Object 35	obj35_hand
Object 36	obj36_Rickety_Fence
Object 37	obj37_rickety_wooden_fence
Object 38	obj38_graffiti
Object 39	obj39_Forest
Object 40	obj40_fallen_branch
Object 41	obj41_Deep_Forest
Object 42	obj42_picnic_basket
Object 43	obj43_cracked_porcelain_dish
Object 44	obj44_lid
Object 45	obj45_pot
Object 46	obj46_pot
Object 47	obj47_pease_porridge
Object 48	obj48_golden_hairpin
Object 49	obj49_bent_spoon
Object 50	obj50_Country_Lane
Object 51	obj51_Outside_the_Cottage
Object 52	obj52_cottage_garden
Object 53	obj53_machinery
Object 54	obj54_vines
Object 55	obj55_Meadow_Behind_the_Cottage
Object 56	obj56_Inside_the_Cottage
Object 57	obj57_armchair
Object 58	obj58_desk
Object 59	obj59_desk_drawers
Object 60	obj60_top_right_drawer
Object 61	obj61_top_left_drawer
Object 62	obj62_middle_drawer
Object 63	obj63_file_drawer
Object 64	obj64_floorboards
Object 65	obj65_furniture
Object 66	obj66_hearth
Object 67	obj67_lamp
Object 68	obj68_newspaper
Object 69	obj69_assorted_litter
Object 70	obj70_useless_debris
Object 71	obj71_odds_and_ends
Object 72	obj72_bunch_of_junk
Object 73	obj73_sofa
Object 74	obj74_table
Object 75	obj75_spinning_wheel
Object 76	obj76_bobbin
Object 77	obj77_compartment
Object 78	obj78_battery
Object 79	obj79_panel
Object 80	obj80_toggle_switch
Object 81	obj81_treadle
Object 82	obj82_big__giant_bag
Object 83	obj83_soft_wool
Object 84	obj84_medium_sized_bag
Object 85	obj85_glossy_wool
Object 86	obj86_wee__little_bag
Object 87	obj87_curly_wool
Object 88	obj88_yarn
Object 89	obj89_stone_cottage
Object 90	obj90_white_ruffled_curtains
Object 91	obj91_cottage_door
Object 92	obj92_brass_doorknob
Object 93	obj93_cottage_window
Object 94	obj94_Outside_the_Bungalow
Object 95	obj95_picket_fence
Object 96	obj96_bungalow_garden
Object 97	obj97_gap
Object 98	obj98_gingerbread_trim
Object 99	obj99_knock
Object 100	obj100_Meadow_Behind_the_Bungalow
Object 101	obj101_ladder
Object 102	obj102_Inside_the_Bungalow
Object 103	obj103_pink_bungalow
Object 104	obj104_gingham_curtains
Object 105	obj105_bungalow_door
Object 106	obj106_bungalow_doorknob
Object 107	obj107_bungalow_window
Object 108	obj108_placard
Object 109	obj109_thumbtack
Object 110	obj110_Schoolyard
Object 111	obj111_Inside_the_School
Object 112	obj112_chair
Object 113	obj113_teacher_s_desk
Object 114	obj114_desk_drawers
Object 115	obj115_top_right_drawer
Object 116	obj116_top_left_drawer
Object 117	obj117_middle_drawer
Object 118	obj118_file_drawer
Object 119	obj119_one_of_the_student_desks
Object 120	obj120_chalk_marks
Object 121	obj121_schoolhouse
Object 122	obj122_schoolhouse_door
Object 123	obj123_door_handle
Object 124	obj124_schoolhouse_window
Object 125	obj125_Clock_Tower_Stairs
Object 126	obj126_corner
Object 127	obj127_stairs
Object 128	obj128_Inside_the_Clock_Tower
Object 129	obj129_clockworks
Object 130	obj130_cables_and_pulleys
Object 131	obj131_gears
Object 132	obj132_clock_tower_door
Object 133	obj133_brass_key
Object 134	obj134_clock_tower_lock
