! Auto-generated by Reform.

MD5	aaf0b90fbb31717481c02832bf412070

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north
Object 8	obj8_south
Object 9	obj9_east
Object 10	obj10_west
Object 11	obj11_northeast
Object 12	obj12_northwest
Object 13	obj13_southeast
Object 14	obj14_southwest
Object 15	obj15_up_above
Object 16	obj16_ground
Object 17	obj17_inside
Object 18	obj18_outside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__Library_Extensions_
Object 24	obj24__LibraryMessages_
Object 25	Option
Object 26	Menu
Object 27	SwitchOption
Object 28	obj28__temp_obj_
Object 29	Room
Object 30	Parsable
Object 31	Thing
Object 32	Fluid
Object 33	Powder
Object 34	obj34_Powder_1
Object 35	obj35_Powder_2
Object 36	obj36_Powder_3
Object 37	obj37_Powder_4
Object 38	Water
Object 39	obj39_Water_1
Object 40	obj40_Water_2
Object 41	obj41_Water_3
Object 42	obj42_Water_4
Object 43	NPC
Object 44	Topic
Object 45	Seekable
Object 46	Brick
Object 47	obj47_Brick_1
Object 48	obj48_Brick_2
Object 49	obj49_Brick_3
Object 50	obj50_Brick_4
Object 51	obj51_Brick_5
Object 52	obj52_Brick_6
Object 53	obj53_Brick_7
Object 54	obj54_Brick_8
Object 55	obj55_Brick_9
Object 56	obj56_Brick_10
Object 57	obj57_Brick_11
Object 58	obj58_Brick_12
Object 59	obj59_Brick_13
Object 60	obj60_Brick_14
Object 61	obj61_Brick_15
Object 62	obj62_Brick_16
Object 63	obj63_Brick_17
Object 64	Fruit
Object 65	obj65_Fruit_1
Object 66	obj66_Fruit_2
Object 67	obj67_Fruit_3
Object 68	obj68_Fruit_4
Object 69	obj69_Fruit_5
Object 70	obj70_Fruit_6
Object 71	obj71_Fruit_7
Object 72	obj72_Fruit_8
Object 73	obj73_Fruit_9
Object 74	obj74_Fruit_10
Object 75	obj75_Fruit_11
Object 76	obj76_Fruit_12
Object 77	obj77_Fruit_13
Object 78	obj78_Fruit_14
Object 79	obj79_Fruit_15
Object 80	obj80_Fruit_16
Object 81	obj81_Fruit_17
Object 82	obj82__brickData_
Object 83	obj83__confirmation_
Object 84	obj84_Nowhere
Object 85	obj85__placeholder_
Object 86	obj86_pig
Object 87	obj87_Grunk
Object 88	obj88_part_of_Grunk_body
Object 89	obj89_stone
Object 90	obj90_dark
Object 91	obj91_pants
Object 92	obj92_torch
Object 93	obj93_Outside
Object 94	obj94_moon
Object 95	obj95_wall
Object 96	obj96_field
Object 97	obj97_forest
Object 98	obj98_noise
Object 99	obj99_tracks
Object 100	obj100_farm
Object 101	obj101__missingOutside_
Object 102	obj102_Hole
Object 103	obj103_broken_stair
Object 104	obj104__whistle_
Object 105	obj105_tunnel
Object 106	obj106_curly_bit
Object 107	obj107_hole
Object 108	obj108_crack
Object 109	obj109__insideCrack_
Object 110	obj110_paper
Object 111	obj111_Fountain_Room
Object 112	obj112__missingBR_
Object 113	obj113_glowing_wall
Object 114	obj114_tunnel_to_west
Object 115	obj115_tunnel_to_east
Object 116	obj116_fountain
Object 117	obj117_squirty_part
Object 118	obj118_little_bit
Object 119	obj119_fountain_drain
Object 120	obj120_fountain_bowl
Object 121	obj121_coin
Object 122	obj122_water_that_not_in_fountain
Object 123	obj123_soup_that_not_in_fountain
Object 124	obj124_curtain
Object 125	obj125_picture_of_gnome
Object 126	obj126_picture_of_cave
Object 127	obj127_pig
Object 128	obj128_Statue_Room
Object 129	obj129_picture_on_west_wall
Object 130	obj130_black_powder_in_picture
Object 131	obj131_fire_in_picture
Object 132	obj132_water_in_picture
Object 133	obj133_picture_on_east_wall
Object 134	obj134_pole_in_picture
Object 135	obj135_yellow_thing_in_picture
Object 136	obj136_pie_in_picture
Object 137	obj137_north_wall
Object 138	obj138_south_wall
Object 139	obj139_statue_head
Object 140	obj140_hat
Object 141	obj141_statue_shoes
Object 142	obj142_statue_suit
Object 143	obj143_statue_hand
Object 144	obj144_block
