! Auto-generated by Reform.

MD5	646a63307f77dcdcd011f330277ae262

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	Firearm
Object 25	Room
Object 26	Scenic
Object 27	obj27_Null_Room
Object 28	Water
Object 29	obj29_Water_1
Object 30	obj30_Water_2
Object 31	obj31_Water_3
Object 32	obj32_Water_4
Object 33	obj33_Water_5
Object 34	obj34_Water_6
Object 35	obj35_Water_7
Object 36	obj36_Water_8
Object 37	obj37_Water_9
Object 38	obj38_Water_10
Object 39	obj39_Water_11
Object 40	Coffee
Object 41	obj41_Coffee_1
Object 42	obj42_Coffee_2
Object 43	obj43_Coffee_3
Object 44	obj44_Coffee_4
Object 45	obj45_Coffee_5
Object 46	obj46_Coffee_6
Object 47	obj47_Coffee_7
Object 48	obj48_Coffee_8
Object 49	obj49_Coffee_9
Object 50	obj50_Coffee_10
Object 51	obj51_Coffee_11
Object 52	LiquidContainer
Object 53	LiquidSource
Object 54	PunchCard
Object 55	obj55_PunchCard_1
Object 56	obj56_PunchCard_2
Object 57	obj57_PunchCard_3
Object 58	obj58_PunchCard_4
Object 59	obj59_PunchCard_5
Object 60	obj60_PunchCard_6
Object 61	obj61_PunchCard_7
Object 62	obj62_PunchCard_8
Object 63	obj63_PunchCard_9
Object 64	obj64_PunchCard_10
Object 65	obj65_PunchCard_11
Object 66	obj66_PunchCard_12
Object 67	obj67_PunchCard_13
Object 68	obj68_PunchCard_14
Object 69	obj69_PunchCard_15
Object 70	obj70_PunchCard_16
Object 71	obj71_PunchCard_17
Object 72	obj72_PunchCard_18
Object 73	obj73_PunchCard_19
Object 74	obj74_PunchCard_20
Object 75	obj75_PunchCard_21
Object 76	obj76_PunchCard_22
Object 77	obj77_PunchCard_23
Object 78	obj78_PunchCard_24
Object 79	obj79_PunchCard_25
Object 80	obj80_PunchCard_26
Object 81	obj81_PunchCard_27
Object 82	obj82_PunchCard_28
Object 83	obj83_PunchCard_29
Object 84	obj84_PunchCard_30
Object 85	obj85_PunchCard_31
Object 86	obj86_PunchCard_32
Object 87	obj87_PunchCard_33
Object 88	obj88_PunchCard_34
Object 89	obj89_PunchCard_35
Object 90	obj90_PunchCard_36
Object 91	obj91_PunchCard_37
Object 92	obj92_PunchCard_38
Object 93	obj93_PunchCard_39
Object 94	obj94_PunchCard_40
Object 95	obj95_PunchCard_41
Object 96	obj96_PunchCard_42
Object 97	obj97_PunchCard_43
Object 98	obj98_PunchCard_44
Object 99	obj99_PunchCard_45
Object 100	obj100_PunchCard_46
Object 101	obj101_PunchCard_47
Object 102	obj102_PunchCard_48
Object 103	obj103_PunchCard_49
Object 104	obj104_PunchCard_50
Object 105	obj105_PunchCard_51
Object 106	obj106_PunchCard_52
Object 107	obj107_PunchCard_53
Object 108	obj108_PunchCard_54
Object 109	obj109_PunchCard_55
Object 110	obj110_PunchCard_56
Object 111	obj111_PunchCard_57
Object 112	obj112_PunchCard_58
Object 113	obj113_PunchCard_59
Object 114	obj114_PunchCard_60
Object 115	obj115_PunchCard_61
Object 116	obj116_PunchCard_62
Object 117	obj117_PunchCard_63
Object 118	obj118_PunchCard_64
Object 119	obj119_PunchCard_65
Object 120	obj120_PunchCard_66
Object 121	obj121_PunchCard_67
Object 122	obj122_PunchCard_68
Object 123	obj123_PunchCard_69
Object 124	obj124_PunchCard_70
Object 125	obj125_PunchCard_71
Object 126	obj126_PunchCard_72
Object 127	obj127_PunchCard_73
Object 128	obj128_PunchCard_74
Object 129	obj129_PunchCard_75
Object 130	obj130_PunchCard_76
