! Auto-generated by Reform.

MD5	5f42ff092a2f30471ae98150ef4da2e1

Object 1	obj1_catwalk
Object 2	obj2_keyring
Object 3	obj3_red_aluminum_Yale_key
Object 4	obj4_air
Object 5	obj5_elevator_shaft
Object 6	obj6_your_hand
Object 7	obj7_smooth_stone
Object 8	obj8_plastic_container
Object 9	obj9_Tomb
Object 10	obj10_cylindrical_hole
Object 11	obj11_passage
Object 12	obj12_wooden_ladder
Object 13	obj13_program
Object 14	obj14_metal_cover
Object 15	obj15_Wet_Tunnel
Object 16	obj16_Small_Courtyard
Object 17	obj17_Cinderblock_Tunnel
Object 18	obj18_package_of_Funny_Bones
Object 19	obj19_brick_wall
Object 20	obj20_maintenance_man
Object 21	obj21_At_Platform
Object 22	obj22_slime_curtain
Object 23	obj23_vat
Object 24	obj24_your_feet
Object 25	obj25_Brick_Tunnel
Object 26	obj26_iron_plate
Object 27	obj27_Basement
Object 28	obj28_wall_socket
Object 29	obj29_yourself
Object 30	obj30_branded_symbol
Object 31	obj31_manhole
Object 32	obj32_hook
Object 33	obj33_Kitchen
Object 34	obj34_Tunnel_Entrance
Object 35	obj35_Stairway
Object 36	obj36_tattoo
Object 37	obj37_Concrete_Box
Object 38	obj38_Engineering_Building
Object 39	obj39_Muddy_Tunnel
Object 40	obj40_new_brick
Object 41	obj41_fire_axe
Object 42	obj42_Lab
Object 43	obj43_outlet
Object 44	obj44_creature
Object 45	obj45_bolt_cutter
Object 46	obj46_direction
Object 47	obj47_Dead_Storage
Object 48	obj48_cold_liquid
Object 49	obj49
Object 50	obj50_pool
Object 51	obj51_Wet_Tunnel
Object 52	obj52_elevator_shaft
Object 53	obj53_metal_flask
Object 54	obj54_power_cord
Object 55	obj55_carved_symbol
Object 56	obj56_it
Object 57	obj57_alarm_button
Object 58	obj58_cardboard_carton
Object 59	obj59
Object 60	obj60_your_head
Object 61	obj61_two_liter_bottle_of_Classic_Coke
Object 62	obj62_chair
Object 63	obj63_YAK_editor
Object 64	obj64_crawling_slime
Object 65	obj65_Computer_Center
Object 66	obj66_Steam_Tunnel
Object 67	obj67_elevator_shaft
Object 68	obj68_coaxial_cable
Object 69	obj69_Inner_Lair
Object 70	obj70_light
Object 71	obj71_sleep
Object 72	obj72_missing_students
Object 73	obj73_microwave_controls
Object 74	obj74_elevator
Object 75	obj75_greasy_chain
Object 76	obj76_elevator_doors
Object 77	obj77_manhole_cover
Object 78	obj78_Steam_Tunnel
Object 79	obj79_junk
Object 80	obj80_greasy_chain
Object 81	obj81_sign
Object 82	obj82
Object 83	obj83_it
Object 84	obj84_door
Object 85	obj85_graffiti
Object 86	obj86_microwave_oven
Object 87	obj87_Wet_Tunnel
Object 88	obj88_emergency_cabinet
Object 89	obj89_elevator_doors
Object 90	obj90_Chinese_food
Object 91	obj91_metal_plate
Object 92	obj92_tub_of_dirt
Object 93	obj93_cablelike_appendage
Object 94	obj94_dark_shape
Object 95	obj95_master_key
Object 96	obj96_dead_rat
Object 97	obj97_assignment
Object 98	obj98_Smith_Street
Object 99	obj99_Large_Chamber
Object 100	obj100_urchin
Object 101	obj101_hole
Object 102	obj102_office
Object 103	obj103_ladder
Object 104	obj104_pair_of_rubber_boots
Object 105	obj105_refrigerator
Object 106	obj106_south_wall
Object 107	obj107_HELP_key
Object 108	obj108_Alchemy_Department_door
Object 109	obj109_Inside_Dome
Object 110	obj110_Third_Floor
Object 111	obj111_ancient_door
Object 112	obj112_hole
Object 113	obj113_pressure_valve
Object 114	obj114_thing
Object 115	obj115_elevator_doors
Object 116	obj116_snow
Object 117	obj117_Wet_Tunnel
Object 118	obj118_elevator_doors
Object 119	obj119_hatch
Object 120	obj120_access_panel
Object 121	obj121_Roof_of_Great_Dome
Object 122	obj122_elevator_doors
Object 123	obj123
Object 124	obj124_Elevator
Object 125	obj125_incised_symbol
Object 126	obj126_maintenance_man
Object 127	obj127_Roof
Object 128	obj128_B_button
Object 129	obj129_hacker
Object 130	obj130_peach_tree
Object 131	obj131_Wet_Tunnel
Object 132	obj132_flashlight
Object 133	obj133_brass_hyrax
Object 134	obj134_Basalt_Bowl
Object 135	obj135_padlock
Object 136	obj136_Aero_Lobby
Object 137	obj137_Second_Floor
Object 138	obj138_Steam_Tunnel
Object 139	obj139_room
Object 140	obj140_Temporary_Lab
Object 141	obj141_wire
Object 142	obj142_Subbasement
Object 143	obj143_tangle_of_machinery
Object 144	obj144_steam_pipes
Object 145	obj145_On_the_Great_Dome
Object 146	obj146_menu_box
Object 147	obj147_dome
Object 148	obj148_him
Object 149	obj149_Before_the_Altar
Object 150	obj150_Fruits_and_Nuts
Object 151	obj151_your_eyes
Object 152	obj152_Place
Object 153	obj153_tangle_of_machinery
Object 154	obj154_platform
Object 155	obj155_coaxial_cable
Object 156	obj156_crowbar
Object 157	obj157_north_wall
Object 158	obj158_Aero_Basement
Object 159	obj159_clothes
Object 160	obj160_kitchen_counter
Object 161	obj161_Wet_Tunnel
Object 162	obj162_thing
Object 163	obj163_roof_door
Object 164	obj164_Wet_Tunnel
Object 165	obj165_east_wall
Object 166	obj166_broken_brick
Object 167	obj167_piece_of_paper
Object 168	obj168_archway
Object 169	obj169_up_arrow
Object 170	obj170_urchins
Object 171	obj171_Ancient_Storage
Object 172	obj172_classics_paper
Object 173	obj173_west_wall
Object 174	obj174_Department_of_Alchemy
Object 175	obj175_knife
Object 176	obj176_Terminal_Room
Object 177	obj177_whitish_mass
Object 178	obj178_elevator_shaft
Object 179	obj179_Cluttered_Passage
Object 180	obj180_Great_Court
Object 181	obj181_Wet_Tunnel
Object 182	obj182_mist
Object 183	obj183_sign_up_sheet
Object 184	obj184_Wet_Tunnel
Object 185	obj185_Smith_Street
Object 186	obj186_power_line
Object 187	obj187_Wet_Tunnel
Object 188	obj188_greasy_chain
Object 189	obj189_human_hand
Object 190	obj190_Mass__Ave_
Object 191	obj191_pc
Object 192	obj192_metal_box
Object 193	obj193_floor
Object 194	obj194_slab_of_granite
Object 195	obj195_Top_Floor
Object 196	obj196_it
Object 197	obj197_forklift
Object 198	obj198_number
Object 199	obj199_mouse
Object 200	obj200_Brown_Basement
Object 201	obj201_Renovated_Cave
Object 202	obj202_Temporary_Basement
Object 203	obj203_pair_of_electrician_s_gloves
Object 204	obj204_ceiling
Object 205	obj205_noise
Object 206	obj206_Infinite_Corridor
Object 207	obj207_Alchemy_Department_computer
Object 208	obj208_Infinite_Corridor
Object 209	obj209_down_arrow
Object 210	obj210_Infinite_Corridor
Object 211	obj211_close_button
Object 212	obj212_lab_bench
Object 213	obj213_Top_of_Dome
Object 214	obj214_Infinite_Corridor
Object 215	obj215_socket
Object 216	obj216_more_box
Object 217	obj217_tarry_liquid
Object 218	obj218_Infinite_Corridor
Object 219	obj219_pentagram
Object 220	obj220_stop_switch
Object 221	obj221_Steam_Tunnel
Object 222	obj222_Skyscraper_Roof
Object 223	obj223_sewer_rats
Object 224	obj224_display
Object 225	obj225_elevator_doors
Object 226	obj226_laboratory
Object 227	obj227_Steam_Tunnel
Object 228	obj228_open_button
Object 229	obj229_carvings
Object 230	obj230_missing_urchins
Object 231	obj231_reinforcing_rod
Object 232	obj232_Wet_Tunnel
Object 233	obj233_slot
Object 234	obj234_Wet_Tunnel
Object 235	obj235_floor_waxer
Object 236	obj236_ropy_strand
Object 237	obj237_dirt
Object 238	obj238_wall
Object 239	obj239_frosted_glass_window
Object 240	obj240_Brown_Building
Object 241	obj241_floor_button
Object 242	obj242_bronze_plug
Object 243	obj243_floor_wax
Object 244	obj244_green_aluminum_Medeco_key
Object 245	obj245_outside_door
Object 246	obj246_green_brass_Yale_key
Object 247	obj247_pseudo
Object 248	obj248_Chemistry_Building
Object 249	obj249_Great_Dome
Object 250	obj250_professor
Object 251	obj251_floor_waxer
Object 252	obj252_green_aluminum_Yale_key

Attribute 0	attrib0			! obj62_chair
Attribute 1	attrib1			! obj18_package_of_Funny_Bones obj58_cardboard_carton obj61_two_liter_bottle_of_Classic_Coke obj90_Chinese_food
Attribute 2	attrib2			! obj8_plastic_container obj14_metal_cover obj18_package_of_Funny_Bones obj26_iron_plate obj53_metal_flask obj58_cardboard_carton obj61_two_liter_bottle_of_Classic_Coke obj84_door obj86_microwave_oven obj88_emergency_cabinet obj89_elevator_doors obj91_metal_plate obj102_office obj105_refrigerator obj108_Alchemy_Department_door obj111_ancient_door obj113_pressure_valve obj115_elevator_doors obj118_elevator_doors obj119_hatch obj120_access_panel obj122_elevator_doors obj135_padlock obj163_roof_door obj192_metal_box obj225_elevator_doors obj245_outside_door
Attribute 3	attrib3			! obj82
Attribute 4	attrib4			! obj41_fire_axe obj58_cardboard_carton obj77_manhole_cover obj82 obj90_Chinese_food obj95_master_key obj133_brass_hyrax obj135_padlock obj159_clothes obj183_sign_up_sheet obj191_pc obj217_tarry_liquid obj242_bronze_plug obj243_floor_wax
Attribute 5	attrib5			! obj23_vat obj26_iron_plate obj56_it obj82 obj86_microwave_oven obj88_emergency_cabinet obj192_metal_box obj239_frosted_glass_window
Attribute 6	attrib6			! obj6_your_hand obj24_your_feet obj29_yourself obj82 obj83_it obj112_hole obj133_brass_hyrax obj148_him obj204_ceiling obj243_floor_wax
Attribute 7	attrib7			! obj82
