! Auto-generated by Reform.

MD5	bf75b9651cff0e2d04302f19c443588e

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	Option
Object 25	Menu
Object 26	SwitchOption
Object 27	obj27_The_Moonlit_Tower
Object 28	obj28_About_the_Game
Object 29	obj29_The_Opening
Object 30	obj30_How_to_Play_Interactive_Fiction
Object 31	obj31_Getting_Started
Object 32	obj32_A_Sample_Transcript
Object 33	obj33_Standard_Inform_Verbs
Object 34	obj34_Verbs_Specific_to_This_Game
Object 35	obj35_Credits_and_Acknowledgements
Object 36	obj36_License
Object 37	obj37_Revision_History
Object 38	obj38_Hints
Object 39	obj39_About_the_Hints
Object 40	obj40_General_Tips
Object 41	obj41_Hints__The_Jade_Compass
Object 42	obj42_How_do_I_use_the_compass_
Object 43	obj43_I_m_stuck__how_do_I_use_it__really_
Object 44	obj44_What_does_the_compass_do_
Object 45	obj45_What_is_its_significance_
Object 46	obj46_Hints__The_Maple_Leaf
Object 47	obj47_What_s_the_leaf_s_purpose_
Object 48	obj48_Where_do_I_find_a_frame_
Object 49	obj49_Where_do_I_find_a_string_
Object 50	obj50_Where_do_I_find_a_knife_
Object 51	obj51_How_do_I_put_everything_together_
Object 52	obj52_Why_doesn_t_my_creation_work_
Object 53	obj53_What_did_going_through_all_this_accomplish_
Object 54	obj54_Hints__The_Bronze_Gong
Object 55	obj55_How_do_I_use_the_gong_
Object 56	obj56_Where_do_I_find_an_instrument_
Object 57	obj57_How_do_I_signal_what_piece_to_play_
Object 58	obj58_What_did_this_accomplish_
Object 59	obj59_Hints__The_Mural
Object 60	obj60_What_can_I_do_with_the_mural_
Object 61	obj61_Okay__I_went_in__How_do_I_get_out_
Object 62	obj62_What_s_the_purpose_of_this_place_
Object 63	obj63_What_s_up_with_the_lantern_
Object 64	obj64_Hints__The_Banquet
Object 65	obj65_What_are_the_chopsticks_for_
Object 66	obj66_What_can_I_do_about_the_bones_
Object 67	obj67_What_does_the_banquet_signify_
Object 68	obj68_Why_can_t_I_go_downstairs_
Object 69	obj69_How_do_I_find_a_guiding_star_
Object 70	obj70_How_do_I_rearrange_the_banquet_
Object 71	obj71_Hints__The_Hall_of_Hawks
Object 72	obj72_Is_there_anything_in_this_room_
Object 73	obj73_How_do_I_go_through_the_southern_passageway_
Object 74	obj74_What_must_I_do_in_order_to_deal_with_the_shadow_
Object 75	obj75_Why_can_t_I_leave_
Object 76	Room
Object 77	Furniture
Object 78	Tapestry
Object 79	Screen
Object 80	Intangible
Object 81	Shadow
Object 82	obj82_Moonlit_Chamber
Object 83	obj83_easter_egg
Object 84	obj84_moonlight
Object 85	obj85_darkness
Object 86	obj86_sky
Object 87	obj87_stones
Object 88	obj88_stairs
Object 89	obj89_bas_relief
Object 90	obj90_porcelain_mask
Object 91	obj91_Shadow_Armory
Object 92	obj92_light
Object 93	obj93_stones
Object 94	obj94_shapes
Object 95	obj95_maple_leaf
Object 96	obj96_kite
Object 97	obj97_comb
Object 98	obj98_shadow_weapons
Object 99	obj99_bronze_hilted_dagger
Object 100	obj100_tasseled_pommel
Object 101	obj101_white_tassel
Object 102	obj102_Undying_Garden
Object 103	obj103_light
Object 104	obj104_darkness
Object 105	obj105_tortoise_shell_comb
Object 106	obj106_garden
Object 107	obj107_unliving_flowers
Object 108	obj108_unliving_trees
Object 109	obj109_jade_compass
Object 110	obj110_glass_needle
Object 111	obj111_hawk
Object 112	obj112_feather
Object 113	obj113_swallow
Object 114	obj114_crane
Object 115	obj115_Silent_Symphony
Object 116	obj116_light
