! Auto-generated by Reform.

MD5	570179d4f21b2f600862dbffbb5afc3e

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	Room
Object 6	Item
Object 7	obj7__PLAYER_
Object 8	obj8__KEY_
Object 9	obj9__WOOD_
Object 10	obj10__OGRE_
Object 11	obj11__SHAWM_
Object 12	obj12__SWORD_
Object 13	obj13__LAMP_
Object 14	obj14__ROD_
Object 15	obj15__MONSTER_
Object 16	obj16__BREAD_
Object 17	obj17__BOWL_
Object 18	obj18__CENTAUR_
Object 19	obj19__PIGEON_
Object 20	obj20__MYRRH_
Object 21	obj21__TOAD_
Object 22	obj22__MANTICORE_
Object 23	obj23__MILLET_
Object 24	obj24__KEEPER_
Object 25	obj25__DODO_
Object 26	obj26__SCENT_
Object 27	obj27__WAX_
Object 28	obj28__BEADS_
Object 29	obj29__WIG_
Object 30	obj30__STATUE_
Object 31	obj31__STONE_
Object 32	obj32__INGOT_
Object 33	obj33__WIZARD_
Object 34	obj34__STAFF_
Object 35	obj35__LION_
Object 36	obj36__BED_
Object 37	obj37__RIBBON_
Object 38	obj38__AMETHYST_
Object 39	obj39__DAUGHTER_
Object 40	obj40__SCROLL_
Object 41	obj41__TROLL_
Object 42	obj42__BABOON_
Object 43	obj43__PILLOW_
Object 44	obj44__POLTERGEIST_
Object 45	obj45__PERIDOT_
Object 46	obj46__GOBLIN_
Object 47	obj47__PIN_
Object 48	obj48__EIGHT_
Object 49	obj49__CAULDRON_
Object 50	obj50__CANNIBAL_
Object 51	obj51__MISSIONARY_
Object 52	obj52__BIBLE_
Object 53	obj53__START_
Object 54	obj54__INHUT_
Object 55	obj55__PATH1_
Object 56	obj56__PATH2_
Object 57	obj57__PATH3_
Object 58	obj58__PATH4_
Object 59	obj59__PATH5_
Object 60	obj60__GRAVE_
Object 61	obj61__LAKE_
Object 62	obj62__WALL1_
Object 63	obj63__WALL2_
Object 64	obj64__WALL3_
Object 65	obj65__SANDPIT_
Object 66	obj66__CELLAR_
Object 67	obj67__FRANKRM_
Object 68	obj68__COBROOM_
Object 69	obj69__BLACK0_
Object 70	obj70__BLACK1_
Object 71	obj71__BLACK2_
Object 72	obj72__BLACK3_
Object 73	obj73__BLACK4_
Object 74	obj74__BLACK5_
Object 75	obj75__BLACK6_
Object 76	obj76__BLACK7_
Object 77	obj77__BLACK8_
Object 78	obj78__BLACK9_
Object 79	obj79__BLACK10_
Object 80	obj80__BLACKEND_
Object 81	obj81__ALTUNIV_
Object 82	obj82__ALCOVE_
Object 83	obj83__GAP0_
Object 84	obj84__GAP1_
Object 85	obj85__GAP2_
Object 86	obj86__GAP3_
Object 87	obj87__SECRETCH_
Object 88	obj88__BEACH1_
Object 89	obj89__BEACH2_
Object 90	obj90__BEACH3_
Object 91	obj91__XROADS_
Object 92	obj92__FORK1_
Object 93	obj93__FORK2_
Object 94	obj94__POOLRM_
Object 95	obj95__SENTRYS_
Object 96	obj96__SENTRYN_
Object 97	obj97__MILLROOM_
Object 98	obj98__BEACH0_
Object 99	obj99__KEEP_
Object 100	obj100__FORK3_
Object 101	obj101__SLIMERM_
Object 102	obj102__BEND1_
Object 103	obj103__MANTROOM_
Object 104	obj104__MONKROOM_
Object 105	obj105__GEYSER_
Object 106	obj106__TUNNEL_
Object 107	obj107__HILL1_
Object 108	obj108__HILL2_
Object 109	obj109__ERBROOM_
Object 110	obj110__CAUSEWAY_
Object 111	obj111__JUNCTION_
Object 112	obj112__CAGE_
Object 113	obj113__HOUSE1_
Object 114	obj114__PRISON1_
Object 115	obj115__PRISON2_
Object 116	obj116__EVILRM_
Object 117	obj117__POLTROOM_
Object 118	obj118__PLATFORM_
Object 119	obj119__ISLE1_
Object 120	obj120__ISLE2_
Object 121	obj121__ISLE3_
Object 122	obj122__ISLE4_
Object 123	obj123__ISLE5_
Object 124	obj124__ISLE6_
Object 125	obj125__ISLE7_
Object 126	obj126__LAKE2_

