! Auto-generated by Reform.

MD5	80ea198bca425b6d819c74bfa854236e

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	obj24__d_o_
Object 25	obj25__ether_
Object 26	AboveGround
Object 27	Prop
Object 28	obj28_Large_Clearing
Object 29	obj29_large_clearing
Object 30	obj30_dense_forest
Object 31	obj31_path
Object 32	obj32_tree
Object 33	obj33_snorkel
Object 34	obj34_Small_Path
Object 35	obj35_rocky_territory
Object 36	obj36_Fork_in_Path
Object 37	obj37_End_of_Path
Object 38	obj38_match
Object 39	obj39_End_of_Path
Object 40	obj40_raincoat
Object 41	obj41_Canyon_Entrance
Object 42	obj42_path
Object 43	obj43_forest
Object 44	obj44_canyon
Object 45	obj45_beach
Object 46	obj46_river
Object 47	obj47_Canyon_Path
Object 48	obj48_boulders
Object 49	obj49_passages
Object 50	obj50_passage
Object 51	obj51_Small_Clearing
Object 52	obj52_clearing
Object 53	obj53_small_passages
Object 54	obj54_shovel
Object 55	obj55_Endless_Beach
Object 56	obj56_white_sand
Object 57	obj57_ocean
Object 58	obj58_island
Object 59	obj59_horizon
Object 60	obj60_dunes
Object 61	obj61_Ocean
Object 62	obj62_shore
Object 63	obj63_Island_Coast
Object 64	obj64_coast
Object 65	obj65_rock
Object 66	obj66_Sandy_Beach
Object 67	obj67_earth
Object 68	obj68_lamp
Object 69	obj69_Cylindrical_Room
Object 70	obj70_torch
Object 71	obj71_walls
Object 72	obj72_room
Object 73	obj73_secret_passageway
Object 74	obj74_Giant_Cavern
Object 75	obj75_cavern
Object 76	obj76_corridors
Object 77	obj77_Small_Cavern
Object 78	obj78_Organ_Room
Object 79	obj79_pipe_organ
Object 80	obj80_pipes
Object 81	obj81_Cold_Passage
Object 82	obj82_passageway
Object 83	obj83_vapors
Object 84	obj84_wall_of_ice
Object 85	obj85_fragments
Object 86	obj86_Slimy_Passageway
Object 87	obj87_rubble
Object 88	obj88_slippery_tunnel
Object 89	obj89_Twisting_Passageway
Object 90	obj90_rubble
Object 91	obj91_sword
Object 92	obj92_Blue_Ridge_Mountain_Sports
Object 93	obj93_store
Object 94	obj94_parka
Object 95	obj95_Dirt_Cave
Object 96	obj96_damp_cave
Object 97	obj97_moist_ground
Object 98	obj98_worm
Object 99	obj99_Intersection
Object 100	obj100_lake
Object 101	obj101_intersection
Object 102	obj102_East_Path
Object 103	obj103_old_man
Object 104	obj104_scroll
Object 105	obj105_fishing_rod
Object 106	obj106_West_Path
Object 107	obj107_South_Lake
Object 108	obj108_Chilly_Corridor
Object 109	obj109_corridor
Object 110	obj110_cool_draft
Object 111	obj111_Musty_Corridor
Object 112	obj112_odor
Object 113	obj113_Rice_Room
Object 114	obj114_rice
Object 115	obj115_song
Object 116	obj116_Ice_Room
Object 117	obj117_slush_filled_hole
Object 118	obj118_fish
Object 119	obj119_boot
Object 120	obj120_crystal
Object 121	obj121_Guardian_Chamber
Object 122	obj122_tall_chamber
Object 123	obj123_columns
Object 124	obj124_door
Object 125	obj125_samurai
Object 126	obj126_Jeweled_Room
Object 127	obj127_jewels
Object 128	obj128_wall
Object 129	obj129_diamond_cage
Object 130	obj130_crystal_shaped_space
Object 131	obj131_pair_of_diamond_wings
Object 132	obj132_Ledge
Object 133	obj133_ledge
Object 134	obj134_abyss
Object 135	obj135_fog
Object 136	obj136_faint_light
Object 137	obj137_sushi
Object 138	obj138__long_time_

Attribute 0	animate			! obj20__self_object_ obj103_old_man obj125_samurai
