! Auto-generated by Reform.

MD5	6ae4fd54b7e55675ec7e54ec4dd26462

Object 1	obj1_Forest
Object 2	obj2_Dungeon
Object 3	obj3_air
Object 4	obj4_well
Object 5	obj5_your_hand
Object 6	obj6_whip
Object 7	obj7_pair_of_duelling_pistols
Object 8	obj8_Crulley
Object 9	obj9_torch
Object 10	obj10_window
Object 11	obj11_smelling_salts
Object 12	obj12_curtain
Object 13	obj13_your_kid_slippers
Object 14	obj14_powder_horn
Object 15	obj15_yourself
Object 16	obj16_rapier
Object 17	obj17_linen_chemise
Object 18	obj18_anchor
Object 19	obj19_veranda
Object 20	obj20_Front_Drive
Object 21	obj21_Kitchen
Object 22	obj22_quantity_of_wine
Object 23	obj23_grate
Object 24	obj24_Lawn
Object 25	obj25_spices
Object 26	obj26_Cell
Object 27	obj27_ledge
Object 28	obj28_Stair_Landing
Object 29	obj29_direction
Object 30	obj30_Upstairs_Hall
Object 31	obj31_it
Object 32	obj32_pool
Object 33	obj33_quarters
Object 34	obj34_North_Passage
Object 35	obj35_patrol
Object 36	obj36_reefs
Object 37	obj37_it
Object 38	obj38_your_head
Object 39	obj39_gate
Object 40	obj40_chair
Object 41	obj41_her
Object 42	obj42_dagger
Object 43	obj43_gate
Object 44	obj44_sleep
Object 45	obj45_large_cupboard
Object 46	obj46_Aft_Hold
Object 47	obj47_railing
Object 48	obj48_Anteroom
Object 49	obj49_chain
Object 50	obj50_Bowsprit
Object 51	obj51_shack
Object 52	obj52_skiff
Object 53	obj53_french_door
Object 54	obj54_vine
Object 55	obj55_portrait
Object 56	obj56_rope
Object 57	obj57_your_father
Object 58	obj58_sky
Object 59	obj59_chandelier
Object 60	obj60_it
Object 61	obj61_cell
Object 62	obj62_South_Passage
Object 63	obj63_it
Object 64	obj64_wall
Object 65	obj65_Orchestra
Object 66	obj66_Lafond
Object 67	obj67_Folly
Object 68	obj68_Main_Entrance
Object 69	obj69_coffer
Object 70	obj70_loose_slat
Object 71	obj71_mansion
Object 72	obj72_navigation_wheel
Object 73	obj73_Beach
Object 74	obj74_line
Object 75	obj75_table
Object 76	obj76_cold_chicken
Object 77	obj77_Deck
Object 78	obj78_ladder
Object 79	obj79_butler
Object 80	obj80_Cabin
Object 81	obj81_desk
Object 82	obj82_cot
Object 83	obj83_Supper_Room
Object 84	obj84_cotton_frock
Object 85	obj85_Crow_s_Nest
Object 86	obj86_hole
Object 87	obj87_new_ring
Object 88	obj88_garter
Object 89	obj89_By_the_Ship
Object 90	obj90_blue_goblet
Object 91	obj91_pistol
Object 92	obj92_Landing
Object 93	obj93_cask
Object 94	obj94_Parlour
Object 95	obj95_water_barrel
Object 96	obj96_sea
Object 97	obj97_tree
Object 98	obj98_pinch_of_spices
Object 99	obj99_Shallows
Object 100	obj100_slab_of_pork
Object 101	obj101_Hold
Object 102	obj102_laudanum
Object 103	obj103_Helena_Louise
Object 104	obj104_iron_door
Object 105	obj105_folly
Object 106	obj106_lever
Object 107	obj107_bit_of_mirror
Object 108	obj108_jewelled_brooch
Object 109	obj109_Gallery
Object 110	obj110_dancer
