! Auto-generated by Reform.

MD5	ee339dbdbb0792f67e20bd71bafe0ea5

Object 1	obj1_right
Object 2	obj2_left
Object 3	obj3_SEASTALKER
Object 4	obj4_underwater
Object 5	obj5_traitor
Object 6	obj6_job
Object 7	obj7_your_private_laboratory
Object 8	obj8_Doc_s_laboratory
Object 9	obj9_lab_assistant
Object 10	obj10_sonar_operator
Object 11	obj11_reason
Object 12	obj12_Bly_s_plan
Object 13	obj13_Tip_s_idea
Object 14	obj14_valuable_ore_deposit
Object 15	obj15_more
Object 16	obj16_evidence
Object 17	obj17_private_matter
Object 18	obj18_docking_tank_roof
Object 19	obj19_docking_tank_gate
Object 20	obj20_steel_tank_gate
Object 21	obj21_test_tank
Object 22	obj22_docking_tank
Object 23	obj23_air
Object 24	obj24_here
Object 25	obj25_directions
Object 26	obj26_clue
Object 27	obj27_himself_or_herself
Object 28	obj28_him
Object 29	obj29_her
Object 30	obj30_open_sea
Object 31	obj31_water
Object 32	obj32_compass_direction
Object 33	obj33_sabotage
Object 34	obj34_damage
Object 35	obj35_satellite
Object 36	obj36_cable
Object 37	obj37_transmitter
Object 38	obj38_surface
Object 39	obj39_sonar
Object 40	obj40_distress_call
Object 41	obj41_power_supply
Object 42	obj42_boat
Object 43	obj43_SCIMITAR
Object 44	obj44_explosive_charge
Object 45	obj45_weapon
Object 46	obj46_Snark
Object 47	obj47_problem
Object 48	obj48_motive
Object 49	obj49_danger
Object 50	obj50_Inventions_Unlimited
Object 51	obj51_floor
Object 52	obj52_ground
Object 53	obj53_it
Object 54	obj54_turn
Object 55	obj55_Sharon_s_badge
Object 56	obj56_Tip_s_badge
Object 57	obj57_your_badge
Object 58	obj58_Emergency_Oxygen_Gear
Object 59	obj59_Universal_Tool
Object 60	obj60_catalyst_capsule
Object 61	obj61_article
Object 62	obj62_magazine
Object 63	obj63_Logbook
Object 64	obj64_that_thing
Object 65	obj65_pseudo
Object 66	obj66_south_walkway
Object 67	obj67_control_gear
Object 68	obj68_control_gear
Object 69	obj69_work_counter
Object 70	obj70_west_walkway
Object 71	obj71_gangplank
Object 72	obj72_north_walkway
Object 73	obj73_technician
Object 74	obj74_microphone
Object 75	obj75_diagram
Object 76	obj76_workbench
Object 77	obj77_lab_center
Object 78	obj78_bunch_of_mechanical_supplies
Object 79	obj79_mechanical_supply_shelf
Object 80	obj80_west_part
Object 81	obj81_bunch_of_electronic_supplies
Object 82	obj82_electronic_supply_shelf
Object 83	obj83_bunch_of_chemicals
Object 84	obj84_chemical_supply_shelf
Object 85	obj85_south_doorway
Object 86	obj86_south_part
Object 87	obj87_limbo
Object 88	obj88_Kemp_s_desk
Object 89	obj89_lot_of_business_papers
Object 90	obj90_file_drawer
Object 91	obj91_office_door
Object 92	obj92_storage_closet
Object 93	obj93_circuit_breaker
Object 94	obj94_Electrical_Panel
Object 95	obj95_storage_door
Object 96	obj96_corridor
Object 97	obj97_desk
Object 98	obj98_Microwave_Security_Scanner
Object 99	obj99_intercom
Object 100	obj100_lab_door
Object 101	obj101_east_part
Object 102	obj102_receiver
Object 103	obj103_Computestor
Object 104	obj104_north_part
Object 105	obj105_empty_space
Object 106	obj106_electrolyte_relay
Object 107	obj107_special_Fram_Bolt_Wrench
Object 108	obj108_special_Fram_Bolt_Wrench
Object 109	obj109_arrow
Object 110	obj110_special_hook
Object 111	obj111_access_door
Object 112	obj112_Air_Supply_System
Object 113	obj113_dome_center
Object 114	obj114_fine_grid
Object 115	obj115_hypodermic_syringe
Object 116	obj116_Emergency_Survival_Unit
