! Auto-generated by Reform.

MD5	53bf7a60017e06998cc1542cf35f76fa

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_6_3_
Object 23	obj23__LibraryMessages_
Object 24	Treasure_Class
Object 25	Food_Class
Object 26	obj26_fedora_hat
Object 27	obj27_hand_telescope
Object 28	obj28_Watling_Street
Object 29	obj29_stately_procession_of_elephants
Object 30	obj30_troop_of_soldiers
Object 31	obj31_elephant
Object 32	obj32_cushioned_basket
Object 33	obj33_trunk
Object 34	ears_class
Object 35	obj35_right_ear
Object 36	obj36_left_ear
Object 37	obj37_Lady_Amilia
Object 38	obj38_Amilia_s_hat
Object 39	obj39_The_Guide_For_Travellers_To_The_Lower_Northlands_and_Surrounding_Provinces
Object 40	obj40_sherbet
Object 41	obj41_Customs_Post
Object 42	obj42_pennant_flag
Object 43	obj43_Watling_Street
Object 44	obj44_culvert_bridge
Object 45	obj45_glimpse_of_a_bird
Object 46	obj46_Bird_of_Paradise
Object 47	obj47_mossy_wall
Object 48	obj48_hunting_woods
Object 49	obj49_Watling_Street
Object 50	obj50_noises_of_the_night
Object 51	obj51_Customs_House_Bedroom
Object 52	obj52_four_poster_bed
Object 53	obj53_jade_figurine
Object 54	obj54_beautiful_painting
Object 55	obj55_tapestry_design
Object 56	obj56_Upstairs_Landing
Object 57	obj57_rich_brocade_curtains
Object 58	obj58_window
Object 59	obj59_green_glow
Object 60	obj60_Kitchen
Object 61	obj61_front_door
Object 62	obj62_kitchen_table
Object 63	obj63_ceiling_hook
Object 64	obj64_joint_of_cured_ham
Object 65	obj65_black_iron_stove
Object 66	obj66_stripped_ham_bone
Object 67	obj67_small_wickerwork_hamper
Object 68	obj68_apple
Object 69	obj69_hunk_of_cheese
Object 70	obj70_clove_of_garlic
Object 71	obj71_jewelled_scarab
Object 72	obj72_Living_Room
Object 73	obj73_trophy_case
Object 74	obj74_brass_lantern
Object 75	obj75_oriental_rug
Object 76	obj76_Ambassador_s_trunk
Object 77	obj77_formal_credentials
Object 78	obj78_light_rope
Object 79	obj79_original_chimney
Object 80	spell_class
Object 81	obj81_memory
Object 82	spell_book_class
Object 83	scroll_class
Object 84	obj84_cause_inanimate_object_to_radiate_light
Object 85	obj85_unfasten_object
Object 86	obj86_summon_small_plague_of_insects
Object 87	obj87_parchment_book
Object 88	obj88_handwritten_note
Object 89	obj89_Cellars
Object 90	obj90_chimney
Object 91	obj91_Low_Junction
Object 92	obj92_lintel_stone
Object 93	obj93_platinum_egg
Object 94	obj94_Bubbling_Pool
Object 95	obj95_autumn_leaves
Object 96	obj96_bubbling_pool
Object 97	obj97_banana
Object 98	obj98_Passage_Under_the_Wall
Object 99	obj99_oil_snake
Object 100	obj100_improvised_ladder
Object 101	obj101_Topmost_Ledge
Object 102	obj102_inverted_cedar
Object 103	obj103_cave_floor
Object 104	obj104_Dark_Doorway
Object 105	obj105_Long_Curved_Ledge
Object 106	obj106_ring
Object 107	obj107_Tiny_Recess
Object 108	obj108_Dead_End
Object 109	obj109_silver_ingot
Object 110	obj110_Low_Crawl
Object 111	obj111_boomerang
Object 112	obj112_slide_passage
Object 113	obj113_Shambles
Object 114	obj114_chimney_crack
Object 115	obj115_garbage_heap
Object 116	obj116_Half_Cave
Object 117	obj117_masoned_wall
Object 118	obj118_shard_of_pottery
Object 119	obj119_quartz_window
Object 120	obj120_Pale_Corridor
Object 121	obj121_Adventurer
Object 122	obj122_Antechamber
Object 123	obj123_coffer
Object 124	obj124_old_document
Object 125	obj125_colour_chart
Object 126	obj126_Chamber_of_the_Philosopher_s_Stone
