! Auto-generated by Reform.

MD5	808039c4e9554bdd15d7793539b3bd97

Object 1	obj1_compass
Object 2	obj2_north_wall
Object 3	obj3_south_wall
Object 4	obj4_east_wall
Object 5	obj5_west_wall
Object 6	obj6_northeast_wall
Object 7	obj7_southeast_wall
Object 8	obj8_northwest_wall
Object 9	obj9_southwest_wall
Object 10	obj10_ceiling
Object 11	obj11_floor
Object 12	obj12_outside
Object 13	obj13_inside
Object 14	obj14_Darkness
Object 15	obj15_yourself
Object 16	obj16_memory
Object 17	obj17_copy_a_chant_into_your_prayer_book
Object 18	obj18_prayer_book
Object 19	obj19_cause_an_object_to_give_off_light
Object 20	obj20_Monastery_Chapel
Object 21	obj21_the_Order
Object 22	obj22_Your_Quarters
Object 23	obj23_note
Object 24	obj24_sleeping_pallet
Object 25	obj25_Hallway__near_your_quarters_
Object 26	obj26_Hallway__near_quarters_of_Palemon_and_TuffBerry_
Object 27	obj27_Hallway__east_end_
Object 28	obj28_Hallway__west_end_
Object 29	obj29_Monastery_Gardens
Object 30	obj30_sand
Object 31	obj31_Cloister_Walkway
Object 32	obj32_Entrance_Hall
Object 33	obj33_Main_Hall
Object 34	obj34_brazier
Object 35	obj35_Monastery_Chapel
Object 36	obj36_Joseph
Object 37	obj37_holy_amulet
Object 38	obj38_altar
Object 39	obj39_vial_of_holy_water
Object 40	obj40_Brother_Palemon_s_Quarters
Object 41	obj41_thin_journal
Object 42	obj42_Hidden_Sanctum
Object 43	obj43_dusty_scroll
Object 44	obj44_deliver_magnificent_sermon__glue_audience_to_seats_
Object 45	obj45_Brother_TuffBerry_s_Quarters
Object 46	obj46_torn_page
Object 47	obj47_Brother_Toolbox_s_Quarters
Object 48	obj48_diary
Object 49	obj49_folded_scroll
Object 50	obj50_deliver_dull_sermon__cause_sleep_
Object 51	obj51_Hallway__second_floor__west_
Object 52	obj52_Hallway__second_floor__east_
Object 53	obj53_Private_Meditation_Room
Object 54	obj54_Monastery_Library
Object 55	obj55_shelves
Object 56	obj56_a_copy_of_the_Holy_Scriptures
Object 57	obj57_faded_parchment
Object 58	obj58_Steeple_Room
Object 59	obj59_Steeple_Roof
Object 60	obj60_steeple_window
Object 61	obj61_long_table
Object 62	obj62_Hallway__basement_
Object 63	obj63_Refectory
Object 64	obj64_Monastery_Kitchen
Object 65	obj65_cauldron
Object 66	obj66_preparing_table
Object 67	obj67_scrap_of_paper
Object 68	obj68_Storeroom
Object 69	obj69_large_barrel
Object 70	obj70_sack_of_flour
Object 71	obj71_Caverns
Object 72	obj72_trapdoor
Object 73	obj73_trapdoor
Object 74	obj74_Cave_Intersection
Object 75	obj75_steel_wall
Object 76	obj76_Cliff_Face
Object 77	obj77_Covered_Trail
Object 78	obj78_Mountain_Peak
Object 79	obj79_Snowy_Outcropping
Object 80	obj80_dirty_scroll
Object 81	obj81_banish_spirit
Object 82	obj82_Rocky_Mountain_Trail
Object 83	obj83_Snowy_Intersection
Object 84	obj84_stone_marker
Object 85	obj85_Snowy_Intersection
Object 86	obj86_broken_stone_top
Object 87	obj87_Top_of_Snowy_Slope
Object 88	obj88_tree
Object 89	obj89_nest
Object 90	obj90_Bottom_of_Snowy_Slope
Object 91	obj91_large_boulder
Object 92	obj92_egg_shards
Object 93	obj93_Top_of_tree
Object 94	obj94_tree
Object 95	obj95_nest
Object 96	obj96_corbie_egg
Object 97	obj97_branch
Object 98	obj98_snow
Object 99	obj99_North_of_Frozen_River
Object 100	obj100_On_Frozen_River
Object 101	obj101_On_Frozen_River
Object 102	obj102_scrawled_parchment
Object 103	obj103_river_ice
Object 104	obj104_South_of_Frozen_River
Object 105	obj105_Valley_Trail
Object 106	obj106_Frostham_Outskirts
Object 107	obj107_Frostham
Object 108	obj108_General_Store
Object 109	obj109_dusty_crate
Object 110	obj110_moldy_crate
Object 111	obj111_filthy_crate
Object 112	obj112_North_end_of_Hallway
Object 113	obj113_South_end_of_Hallway
Object 114	obj114_Stockroom
Object 115	obj115_Attic
Object 116	obj116_floorboards
Object 117	obj117_loose_board
Object 118	obj118_can_of_decaf_coffee
Object 119	obj119_square_key
Object 120	obj120_icebox
Object 121	obj121_blue_cereal_box
Object 122	obj122_navy_blue_cereal_box
Object 123	obj123_royal_blue_cereal_box
Object 124	obj124_crunchy_cereal
Object 125	obj125_sugary_cereal
Object 126	obj126_flaky_cereal
Object 127	obj127_packet_of_baking_powder
Object 128	obj128_stick_of_butter
