! Auto-generated by Reform.

MD5	22a0ddac6be15540616c10f1007197f3

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	obj5_GameController
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_southeast_wall
Object 13	obj13_northwest_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19_Darkness
Object 20	obj20_yourself
Object 21	obj21_lm
Object 22	obj22_Void
Object 23	obj23_Void
Object 24	obj24_firework
Object 25	obj25_shadows
Object 26	obj26_dark_tower
Object 27	obj27_city
Object 28	obj28_sky
Object 29	obj29_Roof
Object 30	obj30_iron_railing
Object 31	obj31_hideous_statue
Object 32	obj32_Study
Object 33	obj33_bookshelves
Object 34	obj34_bound_volumes
Object 35	obj35_black_stone_table
Object 36	obj36_writing
Object 37	obj37_ink
Object 38	obj38_dust
Object 39	obj39_desk
Object 40	obj40_yellow_paper
Object 41	obj41_Storage
Object 42	CVial
Object 43	obj43_shelves
Object 44	obj44_mysterious_vial
Object 45	obj45_mysterious_vial
Object 46	obj46_mysterious_vial
Object 47	obj47_mysterious_vial
Object 48	obj48_vial_labelled_Mukhtar
Object 49	obj49_Hall
Object 50	obj50_staircase
Object 51	obj51_object
Object 52	obj52_oak_door
Object 53	obj53_wrought_iron_key
Object 54	obj54_Before_A_Dark_Tower
Object 55	obj55_elliptcal_building
Object 56	obj56_Public_Square
Object 57	obj57_sandstone_wall
Object 58	obj58_cat
Object 59	obj59_secret_door
Object 60	obj60_Road
Object 61	obj61_Road
Object 62	obj62_crack
Object 63	obj63_Crossroads
Object 64	obj64_Road
Object 65	obj65_Dead_End
Object 66	obj66_stone_slab
Object 67	obj67_overhead_bridge
Object 68	obj68_cat
Object 69	obj69_mural_carvings
Object 70	obj70_A_Dark_Hallway
Object 71	obj71_Library
Object 72	obj72_torn_clothes
Object 73	obj73_skeleton
Object 74	obj74_note
Object 75	obj75_Caelestae_Horriblis
Object 76	obj76_temple
Object 77	obj77_victim
Object 78	obj78_larger_than_life_murals
Object 79	obj79_huge_statue
Object 80	obj80_stage
Object 81	obj81_stone_table
Object 82	obj82_blood
Object 83	obj83_audience
Object 84	obj84_priest
Object 85	obj85_nasty_looking_dagger
Object 86	obj86_Temple
Object 87	obj87_Stage
Object 88	obj88_ropes
Object 89	obj89_yourself
Object 90	obj90_unconscious_human_body
Object 91	obj91_confused_young_man
Object 92	obj92_Charles_Bristow
Object 93	obj93_Charles_Bristow
Object 94	obj94_Charles__clothes
Object 95	obj95_Abtin_Mukhtar
Object 96	obj96_Dark_Chamber
Object 97	obj97_yourself
Object 98	obj98_old_man
Object 99	obj99_Temple
Object 100	obj100_entrance
Object 101	obj101_Stairs
Object 102	obj102_Corridor
Object 103	obj103_luminous_blur
Object 104	obj104_debris
Object 105	obj105_carvings
Object 106	obj106_Corridor
Object 107	obj107_square_opening
Object 108	obj108_Limbo
Object 109	obj109_Chamber
Object 110	obj110_destroyed_trapdoor
Object 111	obj111_huge_heap_of_boulders
Object 112	obj112_heavy_stone
Object 113	obj113_narrow_tunnel
Object 114	obj114_Chamber
Object 115	obj115_trapdoor
Object 116	obj116_Corridor
Object 117	obj117_debris
Object 118	obj118_wind
Object 119	obj119_monster
Object 120	obj120_Rock_Chamber
Object 121	obj121_gas_stove
Object 122	obj122_kettle
Object 123	obj123_chair
Object 124	obj124_wooden_chest
Object 125	obj125_crowbar
Object 126	obj126_photograph
Object 127	obj127_rack
Object 128	obj128_red_powder
Object 129	obj129_yellow_powder
Object 130	obj130_glass_bottle
Object 131	obj131_clear_liquid
Object 132	obj132_switch
Object 133	obj133_small_brass_key
Object 134	obj134_black_powder
Object 135	obj135_Deserted_Hall
Object 136	obj136_machine
Object 137	obj137_metal_column
Object 138	obj138_glass_bulbs
Object 139	obj139_lever
Object 140	obj140_glowing_cloud
Object 141	obj141__FianceScene_
