! Auto-generated by Reform.

MD5	33dcc5085acb290d1817e07653c13480

Object 1	obj1_compass
Object 2	obj2_north_wall
Object 3	obj3_south_wall
Object 4	obj4_east_wall
Object 5	obj5_west_wall
Object 6	obj6_northeast_wall
Object 7	obj7_southeast_wall
Object 8	obj8_northwest_wall
Object 9	obj9_southwest_wall
Object 10	obj10_ceiling
Object 11	obj11_floor
Object 12	obj12_outside
Object 13	obj13_inside
Object 14	obj14_Darkness
Object 15	obj15_yourself
Object 16	obj16_Brendon_s_Limbo
Object 17	obj17_Brendon_s_ScoreBoard
Object 18	obj18_Brendon_s_HelpMenu
Object 19	obj19_Help_Credits
Object 20	obj20_Help_Version
Object 21	obj21_Help_Legal
Object 22	obj22_Help_Instructions
Object 23	obj23_Help_Commands
Object 24	obj24_Help_General_Hints
Object 25	obj25_Help_Generally_Struck
Object 26	obj26_standard_theatre_doors
Object 27	obj27_Help_Lyric
Object 28	obj28_loose_page
Object 29	obj29_loose_page
Object 30	obj30_loose_page
Object 31	obj31_loose_page
Object 32	obj32_loose_page
Object 33	obj33_loose_page
Object 34	obj34_loose_page
Object 35	obj35_loose_page
Object 36	obj36_loose_page
Object 37	obj37_loose_page
Object 38	obj38_loose_page
Object 39	obj39_loose_page
Object 40	obj40_loose_page
Object 41	obj41_loose_page
Object 42	obj42_loose_page
Object 43	obj43_loose_page
Object 44	obj44_loose_page
Object 45	obj45_loose_page
Object 46	obj46_loose_page
Object 47	obj47_missing_pages
Object 48	obj48_Score_Read_all_the_Pages
Object 49	obj49_Theatre_Lobby
Object 50	obj50_posters
Object 51	obj51_grand_staircase
Object 52	obj52_Help_Starting_Out
Object 53	obj53_Cloakroom
Object 54	obj54_row_of_hooks
Object 55	obj55_cleaner_hook
Object 56	obj56_secret_passage__leading_down
Object 57	obj57_Manager_s_Office
Object 58	obj58_office_papers
Object 59	obj59_manager_s_desk
Object 60	obj60_closed_metal_safe
Object 61	obj61_dial
Object 62	obj62_handle
Object 63	obj63_architect_s_plans
Object 64	obj64_trapdoor
Object 65	obj65_plastered_over_southern_wall
Object 66	obj66_Help_Office_Safe
Object 67	obj67_Score_Office_Safe
Object 68	obj68_Basement
Object 69	obj69_street_level_windows
Object 70	obj70_electrical_panel
Object 71	obj71_pager
Object 72	obj72_barrels
Object 73	obj73_switch
Object 74	obj74_old_stale_popcorn
Object 75	obj75_old_stale_popcorn
Object 76	obj76_old_stale_popcorn
Object 77	obj77_old_stale_popcorn
Object 78	obj78_old_stale_popcorn
Object 79	obj79_old_stale_popcorn
Object 80	obj80_old_stale_popcorn
Object 81	obj81_old_stale_popcorn
Object 82	obj82_old_stale_popcorn
Object 83	obj83_old_stale_popcorn
Object 84	obj84_old_stale_popcorn
Object 85	obj85_old_stale_popcorn
Object 86	obj86_old_stale_popcorn
Object 87	obj87_old_stale_popcorn
Object 88	obj88_old_stale_popcorn
Object 89	obj89_old_stale_popcorn
Object 90	obj90_old_stale_popcorn
Object 91	obj91_old_stale_popcorn
Object 92	obj92_old_stale_popcorn
Object 93	obj93_old_stale_popcorn
Object 94	obj94_old_stale_popcorn
Object 95	obj95_old_stale_popcorn
Object 96	obj96_old_stale_popcorn
Object 97	obj97_old_stale_popcorn
Object 98	obj98_old_stale_popcorn
Object 99	obj99_old_stale_popcorn
Object 100	obj100_last_of_the_popcorn
Object 101	obj101_Outside_The_Theatre
Object 102	obj102_mist_rolling_over_the_street
Object 103	obj103_street
Object 104	obj104_vicious_thug
Object 105	obj105_sharp_knife
Object 106	obj106_Help_Thug
Object 107	obj107_Sealed_Up_Ticket_Booth
Object 108	obj108_boarded_up_windows
Object 109	obj109_ragged_skeleton
Object 110	obj110_old_rags
Object 111	obj111_old_pocket_watch
Object 112	obj112_little_dial
Object 113	obj113_Cramped_Hallway
Object 114	obj114_old_boxes_of_junk
Object 115	obj115_Narrow_Hallway
Object 116	obj116_carpet_rolls
Object 117	obj117_Rienhart_s_corpse
Object 118	obj118_appointment_book
Object 119	obj119_End_of_Hallway
Object 120	obj120_sealed_door
Object 121	obj121_Alley_Courtyard
Object 122	obj122_stage_doors
Object 123	obj123_rubbish_bin
Object 124	obj124_old_ticket
Object 125	obj125_Dirty_Dream
Object 126	obj126_large_comfortable_bed
Object 127	obj127_Cindy_Crawford
Object 128	obj128_Kathy_Ireland
Object 129	obj129_Stephanie_Seymour
Object 130	obj130_Elle_MacPherson
Object 131	obj131_Score_Models
