! Auto-generated by Reform.

MD5	c632204be3849d6c5bb6f4eb5aca3cc0

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	STBLibraryMessages
Object 24	obj24__LibraryMessages_
Object 25	obj25__temp_obj_
Object 26	Option
Object 27	separator
Object 28	SwitchOption
Object 29	obj29
Object 30	Menu
Object 31	obj31
Object 32	HintTopic
Object 33	Hint
Object 34	obj34_Hints
Object 35	obj35_General__2_hint_topics_
Object 36	obj36_What_s_my_goal_
Object 37	obj37_You_don_t_want_to_do_what_Cheryl_wants_you_to_do_
Object 38	obj38_You_want_to_activate_Yi_Lono_Mordel_
Object 39	obj39_How_do_I_communicate_
Object 40	obj40_You_can_ask_Cheryl_to_do_things_for_you__but_you_can_also_just_have_conversations_
Object 41	obj41_Conversation_is_useful_for_understanding_the_story_
Object 42	obj42_You_can_answer_Cheryl_s_questions_or_make_snide_remarks_to_statements_by_typing__TALK__just_after_she_speaks_
Object 43	obj43_You_never_need_to_TALK_to_win_the_game__nor_will_any_use_of_it_will_ever_lose_the_game_or_make_any_puzzles_harder_
Object 44	obj44_Getting_started__7_hint_topics_
Object 45	obj45_Dealing_with_the_slab
Object 46	obj46_Did_you_examine_it_
Object 47	obj47_That_notch_looks_pretty_suspicious_
Object 48	obj48_It_sounds_like_it_should_react_if_your_body_touches_it_
Object 49	obj49_TOUCH_NOTCH
Object 50	obj50_Dealing_with_the_control_surface
Object 51	obj51_Don_t_worry_about_the_viewscreen_right_now_
Object 52	obj52_Have_you_tried_EXAMINE_STUDS_
Object 53	obj53_Some_of_the_control_studs_aren_t_really_useful_just_yet_
Object 54	obj54_A_smart_Mechanist_doesn_t_just_go_operating_studs_at_random_
Object 55	obj55_You_can_examine_each_stud_to_estimate_its_function_
Object 56	obj56_Powering_up_is_probably_a_good_way_of_starting_
Object 57	obj57_TOUCH_POWER_STUD
Object 58	obj58_Getting_at_the_generator
Object 59	obj59_Ok__so_the_power_stud_doesn_t_work__But_there_s_a_generator_access_stud_
Object 60	obj60_Push_it_
Object 61	obj61_Ok__now_there_s_a_pillar__with_a_suspicious_panel__What_about_that_panel_
Object 62	obj62_Did_you_try_opening_it_
Object 63	obj63_There_doesn_t_seem_to_be_a_stud_for_opening_it__so_it_must_be_something_to_do_with_what_s_right_there__What_else_might_work_on_a_panel_like_that_
Object 64	obj64_What_is_your_standard_technique_for_interacting_with_a_piece_of_Yi_technology_
Object 65	obj65_TOUCH_PANEL
Object 66	obj66_Fixing_the_generator__4_hint_topics_
Object 67	obj67_Detecting_the_problem
Object 68	obj68_Have_you_examined_the_bay_
Object 69	obj69_Do_you_have_the_probe__and_do_you_know_how_to_use_it___See_next_hint_topic__
Object 70	obj70_Did_you_examine_the_plasma_containment_system_
Object 71	obj71_It_uses_magnetic_fields__and_the_probe_generates_some_sort_of_electromagnetic_radiation_
Object 72	obj72_It_s_a_probe__You_need_to_probe_what_s_wrong__Use_the_probe_on_the_problem_area_
Object 73	obj73_PUT_PROBE_IN_BAY
Object 74	obj74_TOUCH_TOP_SENSOR
Object 75	obj75_Cheryl_s_monitor_hologram_shows_some_sort_of_response_to_the_probe_on_the_contact_points__It_would_help_if_you_could_take_a_closer_look_
Object 76	obj76_She_doesn_t_want_you_getting_any_closer_to_her_
Object 77	obj77_How_can_you_get_closer_to_the_hologram_without_getting_closer_to_Cheryl_
Object 78	obj78_ASK_CHERYL_FOR_HOLOGRAM
Object 79	obj79_Finding_and_using_the_probe
Object 80	obj80_Have_you_examined_the_bay_
Object 81	obj81_Did_you_operate_the_tool_stud_
