! Auto-generated by Reform.

MD5	87ed53d854f7e57c36106fca3b9cf5a6

Object 1	obj1_moon
Object 2	obj2_darkness
Object 3	obj3_Advice
Object 4	obj4_Luck
Object 5	obj5_Foresight
Object 6	obj6_rain
Object 7	obj7_Freedom
Object 8	obj8_Flight
Object 9	obj9_small_stone
Object 10	obj10_boots
Object 11	obj11_big_mailbox
Object 12	obj12_that
Object 13	obj13_crowd
Object 14	obj14_King_Anatinus
Object 15	obj15_Princess_Tasmania
Object 16	obj16_wizard_s_hat
Object 17	obj17_Throne_Room
Object 18	obj18_castle
Object 19	obj19_Misty_Island
Object 20	obj20_silver_whistle
Object 21	obj21_broom
Object 22	obj22_first_switch
Object 23	obj23_second_switch
Object 24	obj24_control_panel
Object 25	obj25_chemicals
Object 26	obj26_black_cat
Object 27	obj27_antique_telescope
Object 28	obj28_Laboratory
Object 29	obj29_Fuzziness
Object 30	obj30_lever
Object 31	obj31_torture_machine
Object 32	obj32_rusty_key
Object 33	obj33_white_lab_coat
Object 34	obj34_chain
Object 35	obj35_medical_instrument
Object 36	obj36_Torture_Chamber
Object 37	obj37_Vestibule
Object 38	obj38_metal_crank
Object 39	obj39_series_of_paintings
Object 40	obj40_ladder
Object 41	obj41_hatch
Object 42	obj42_Round_Chamber
Object 43	obj43_stairway
Object 44	obj44_moat
Object 45	obj45_debris
Object 46	obj46_earthworm
Object 47	obj47_grue_milk
Object 48	obj48_bottle
Object 49	obj49_refrigerator
Object 50	obj50_little_beast
Object 51	obj51_Grue_s_Nest
Object 52	obj52_Underground
Object 53	obj53_Underground
Object 54	obj54_Underground
Object 55	obj55_umbrella
Object 56	obj56_willow_tree
Object 57	obj57_open_grave
Object 58	obj58_Open_Grave
Object 59	obj59_Twilight_Glen
Object 60	obj60_eldritch_vapor
Object 61	obj61_tombstone
Object 62	obj62_Creepy_Corner
Object 63	obj63_End_of_Story
Object 64	obj64_Chaos
Object 65	obj65_false_bottom
Object 66	obj66_squashed_can
Object 67	obj67_metal_can
Object 68	obj68_letter
Object 69	obj69_mysterious_envelope
Object 70	obj70_mysterious_envelope
Object 71	obj71_curtain
Object 72	obj72_glass_case
Object 73	obj73_naughty_jokes
Object 74	obj74_magic_tricks
Object 75	obj75_grandfather_clock
Object 76	obj76_Magick_Shoppe
Object 77	obj77_Magick_Shoppe_door
Object 78	obj78_Magick_Shoppe
Object 79	obj79_Cliff_Edge
Object 80	obj80_Steep_Trail
Object 81	obj81_Fog
Object 82	obj82_vulture
Object 83	obj83_gnarled_tree_trunk
Object 84	obj84_dead_branch
Object 85	obj85_Cliff_Bottom
Object 86	obj86_toll_gate
Object 87	obj87_troll
Object 88	obj88_cliff
Object 89	obj89_North_of_Bridge
Object 90	obj90_sign
Object 91	obj91_Bridge
Object 92	obj92_covered_bridge
Object 93	obj93_South_of_Bridge
Object 94	obj94_Rocky_Path
Object 95	obj95_little_mailbox
Object 96	obj96_leaflet
Object 97	obj97_front_door
Object 98	obj98_house
Object 99	obj99_West_of_House
Object 100	obj100_lighthouse
Object 101	obj101_conch_shell
Object 102	obj102_Tidal_Pool
Object 103	obj103_brass_token
Object 104	obj104_big_red_button
Object 105	obj105_joystick
Object 106	obj106_slot
Object 107	obj107_blinking_star
Object 108	obj108_video_screen
Object 109	obj109_game_machine
Object 110	obj110_stunted_humanoids
Object 111	obj111_Video_Arcade
Object 112	obj112_sharks
Object 113	obj113_sand
Object 114	obj114_arcade
Object 115	obj115_bay
Object 116	obj116_Pleasure_Wharf
Object 117	obj117_horseshoe
Object 118	obj118_stump
Object 119	obj119_hole
Object 120	obj120_Lookout_Hill
Object 121	obj121_trail
Object 122	obj122_river
Object 123	obj123_River_Outlet
Object 124	obj124_platypus
Object 125	obj125_pile_of_leaves
Object 126	obj126_pit
Object 127	obj127_sand
Object 128	obj128_iron_gate
Object 129	obj129_lake
Object 130	obj130_Lake_Edge
Object 131	obj131_island
Object 132	obj132_Underground
Object 133	obj133_bunk
Object 134	obj134_thick_blanket
Object 135	obj135_bunk
Object 136	obj136_hole
Object 137	obj137_Jail_Cell
Object 138	obj138_debris
Object 139	obj139_candle
Object 140	obj140_speaker
Object 141	obj141_Church
Object 142	obj142_church_door
Object 143	obj143_church
Object 144	obj144_Rotary_North
Object 145	obj145_old_woman
Object 146	obj146_sculpture
Object 147	obj147_display_case
Object 148	obj148_fossil_exhibit
Object 149	obj149_exhibits
Object 150	obj150_Museum
Object 151	obj151_clutter_of_books
Object 152	obj152_circulation_desk
Object 153	obj153_museum
Object 154	obj154_Circulation_Desk
Object 155	obj155_violet_note
Object 156	obj156_library_door
Object 157	obj157_library
Object 158	obj158_piece_of_chocolate
Object 159	obj159_police_radio
Object 160	obj160_desk
Object 161	obj161_cell_door
Object 162	obj162_cell
Object 163	obj163_police_station_door
Object 164	obj164_police_station
Object 165	obj165_Rotary_West
Object 166	obj166_village
Object 167	obj167_statue
Object 168	obj168_piranha
Object 169	obj169_goldfish
Object 170	obj170_gold_coin
Object 171	obj171_fountain
Object 172	obj172_tree
Object 173	obj173_Park
