! Auto-generated by Reform.

MD5	b732a93a6244ddd92a9b9a3e3a46c687

Object 1	obj1_pair_of_hands
Object 2	obj2_zorkmid
Object 3	obj3_way
Object 4	obj4_cretin
Object 5	obj5_you
Object 6	obj6_blast_of_air
Object 7	obj7_lurking_grue
Object 8	obj8_ground
Object 9	obj9_sailor
Object 10	obj10_blessings
Object 11	obj11_such_thing
Object 12	obj12_random_object
Object 13	obj13_pseudo
Object 14	obj14_number
Object 15	obj15_Slide_Room
Object 16	obj16_Coal_Mine
Object 17	obj17_Coal_Mine
Object 18	obj18_Coal_Mine
Object 19	obj19_Coal_Mine
Object 20	obj20_Ladder_Bottom
Object 21	obj21_Ladder_Top
Object 22	obj22_Smelly_Room
Object 23	obj23_Squeaky_Room
Object 24	obj24_Mine_Entrance
Object 25	obj25_Canyon_View
Object 26	obj26_Rocky_Ledge
Object 27	obj27_Canyon_Bottom
Object 28	obj28_On_the_Rainbow
Object 29	obj29_Aragain_Falls
Object 30	obj30_Shore
Object 31	obj31_Frigid_River
Object 32	obj32_White_Cliffs_Beach
Object 33	obj33_White_Cliffs_Beach
Object 34	obj34_Frigid_River
Object 35	obj35_Frigid_River
Object 36	obj36_Frigid_River
Object 37	obj37_Chasm
Object 38	obj38_North_South_Passage
Object 39	obj39_Damp_Cave
Object 40	obj40_Deep_Canyon
Object 41	obj41_East_West_Passage
Object 42	obj42_Twisting_Passage
Object 43	obj43_Winding_Passage
Object 44	obj44_Narrow_Passage
Object 45	obj45_Cold_Passage
Object 46	obj46_Cave
Object 47	obj47_Cave
Object 48	obj48_Stream
Object 49	obj49_Stream_View
Object 50	obj50_Reservoir_South
Object 51	obj51_Strange_Passage
Object 52	obj52_Maze
Object 53	obj53_Maze
Object 54	obj54_Maze
Object 55	obj55_Dead_End
Object 56	obj56_Maze
Object 57	obj57_Grating_Room
Object 58	obj58_Maze
Object 59	obj59_Maze
Object 60	obj60_Maze
Object 61	obj61_Dead_End
Object 62	obj62_Maze
Object 63	obj63_Maze
Object 64	obj64_Maze
Object 65	obj65_Dead_End
Object 66	obj66_Dead_End
Object 67	obj67_Maze
Object 68	obj68_Maze
Object 69	obj69_Maze
Object 70	obj70_Maze
Object 71	obj71_East_of_Chasm
Object 72	obj72_Cellar
Object 73	obj73_stairs
Object 74	obj74_Clearing
Object 75	obj75_Forest_Path
Object 76	obj76_Forest
Object 77	obj77_Forest
Object 78	obj78_Forest
Object 79	obj79_Behind_House
Object 80	obj80_South_of_House
Object 81	obj81_North_of_House
Object 82	obj82
Object 83	obj83_broken_clockwork_canary
Object 84	obj84_golden_clockwork_canary
Object 85	obj85_beautiful_brass_bauble
Object 86	obj86_broken_jewel_encrusted_egg
Object 87	obj87_jewel_encrusted_egg
Object 88	obj88_Up_a_Tree
Object 89	obj89_bird_s_nest
Object 90	obj90_control_panel
Object 91	obj91_wrench
Object 92	obj92_white_cliffs
Object 93	obj93_cliff
Object 94	obj94_Studio
Object 95	obj95_ZORK_owner_s_manual
Object 96	obj96_Engravings_Cave
Object 97	obj97_wall_with_engravings
Object 98	obj98_viscous_material
Object 99	obj99_tube
Object 100	obj100_Reservoir
Object 101	obj101_trunk_of_jewels
Object 102	obj102_The_Troll_Room
Object 103	obj103_tour_guidebook
Object 104	obj104_torch
Object 105	obj105_Torch_Room
Object 106	obj106_pedestal
Object 107	obj107_Round_Room
Object 108	obj108_tan_label
Object 109	obj109_ancient_map
Object 110	obj110_sword
Object 111	obj111_wooden_door
Object 112	obj112_switch
Object 113	obj113_stiletto
Object 114	obj114_thief
Object 115	obj115_large_bag
Object 116	obj116_beautiful_jeweled_scarab
Object 117	obj117_wooden_ladder
Object 118	obj118_Dead_End
Object 119	obj119_small_pile_of_coal
Object 120	obj120_Sandy_Beach
Object 121	obj121_shovel
Object 122	obj122_skeleton_key
Object 123	obj123_screwdriver
Object 124	obj124_Gas_Room
Object 125	obj125_sapphire_encrusted_bracelet
Object 126	obj126_Sandy_Cave
Object 127	obj127_sand
Object 128	obj128_rusty_knife
