! Auto-generated by Reform.

MD5	ffda9ee2d428fa2fa8e75a1914ff6959

Object 1	obj1_Flathead_Ocean
Object 2	obj2_heavy_but_invisible_liquid
Object 3	obj3_vial
Object 4	obj4_sailor
Object 5	obj5_Viking_Ship
Object 6	obj6_indicator
Object 7	obj7_strange_key
Object 8	obj8_manhole_cover
Object 9	obj9_Water_Slide
Object 10	obj10_High_Arch
Object 11	obj11_Aqueduct
Object 12	obj12_Key_Room
Object 13	obj13_Dark_Place
Object 14	obj14_Dark_Place
Object 15	obj15_Southern_Shore
Object 16	obj16_Sacrificial_Altar
Object 17	obj17_Frobozz_Magic_Grue_Repellent
Object 18	obj18_Room_8
Object 19	obj19_Machine_Room
Object 20	obj20_Drafty_Room
Object 21	obj21_Dead_End
Object 22	obj22_Ladder_Bottom
Object 23	obj23_wooden_ladder
Object 24	obj24_Ladder_Top
Object 25	obj25_Timber_Room
Object 26	obj26_broken_timber
Object 27	obj27_man
Object 28	obj28_pile_of_assorted_valuables
Object 29	obj29_chest
Object 30	obj30_broken_staff
Object 31	obj31_wooden_staff
Object 32	obj32_tree
Object 33	obj33_rope
Object 34	obj34_piece_of_waybread
Object 35	obj35_shiny_object
Object 36	obj36_plants_and_algae
Object 37	obj37_lamp
Object 38	obj38_sand
Object 39	obj39_golden_amulet
Object 40	obj40_burned_out_torch
Object 41	obj41_torch
Object 42	obj42_viewing_table
Object 43	obj43_Scenic_Vista
Object 44	obj44_reeds
Object 45	obj45_Western_Shore
Object 46	obj46_Underwater
Object 47	obj47_fish
Object 48	obj48_On_the_Lake
Object 49	obj49_aqueduct
Object 50	obj50_Aqueduct_View
Object 51	obj51_lake
Object 52	obj52_Lake_Shore
Object 53	obj53_Foggy_Room
Object 54	obj54_rope
Object 55	obj55_Cliff_Ledge
Object 56	obj56_cliff
Object 57	obj57_man
Object 58	obj58_Cliff
Object 59	obj59_ledge
Object 60	obj60_Cliff_Base
Object 61	obj61_Hairpin_Loop
Object 62	obj62_Barren_Area
Object 63	obj63_Junction
Object 64	obj64_Endless_Stair
Object 65	obj65_cloak
Object 66	obj66_hood
Object 67	obj67_hooded_figure
Object 68	obj68_Flathead_Ocean
Object 69	obj69_Land_of_Shadow
Object 70	obj70_Land_of_Shadow
Object 71	obj71_Land_of_Shadow
Object 72	obj72_Land_of_Shadow
Object 73	obj73_Land_of_Shadow
Object 74	obj74_Land_of_Shadow
Object 75	obj75_stone_wall
Object 76	obj76_Land_of_Shadow
Object 77	obj77_Land_of_Shadow
Object 78	obj78_Creepy_Crawl
Object 79	obj79_bronze_plaque
Object 80	obj80_plaque
Object 81	obj81_steel_cage
Object 82	obj82_golden_ring
Object 83	obj83_jewelled_knife
Object 84	obj84_pedestal
Object 85	obj85_sceptre
Object 86	obj86_dial
Object 87	obj87_seat
Object 88	obj88_button
Object 89	obj89_black_machine
Object 90	obj90_grey_machine
Object 91	obj91_gold_machine
Object 92	obj92_Museum_Entrance
Object 93	obj93_Jewel_Room
Object 94	obj94_robot
Object 95	obj95_Technology_Museum
Object 96	obj96_Technology_Museum
Object 97	obj97_Jewel_Room
Object 98	obj98_Museum_Entrance
Object 99	obj99_Side_Room
Object 100	obj100_Royal_Puzzle_Entrance
Object 101	obj101_Technology_Museum
Object 102	obj102_Jewel_Room
Object 103	obj103_wooden_door
Object 104	obj104_stone_door
Object 105	obj105_Museum_Entrance
Object 106	obj106_cleft
Object 107	obj107_iron_door
Object 108	obj108_Great_Door
Object 109	obj109_Royal_Seal_of_Dimwit_Flathead
