! Auto-generated by Reform.

MD5	d8e1578470cbc676e013e03d72c93141

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	obj5_GameController
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_southeast_wall
Object 13	obj13_northwest_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19_Darkness
Object 20	obj20_yourself
Object 21	obj21__LibraryMessages_
Object 22	Question
Object 23	obj23__23_
Object 24	obj24__24_
Object 25	obj25_satan
Object 26	obj26_New_Excavation
Object 27	obj27_tunnel
Object 28	obj28_brass_lantern
Object 29	obj29_cheaply_made_sword
Object 30	obj30_hole
Object 31	obj31_Tunnel
Object 32	obj32_tunnel
Object 33	obj33_boulders
Object 34	obj34_Cultural_Complex
Object 35	obj35_tunnel
Object 36	obj36_decoration
Object 37	obj37_sign
Object 38	obj38_Convention_Center_Lobby
Object 39	obj39_door
Object 40	obj40_sign
Object 41	obj41_floor
Object 42	obj42_Convention_Hall
Object 43	obj43_grues
Object 44	obj44_reader_board
Object 45	obj45_trash_chute
Object 46	obj46_hat
Object 47	obj47_clothes
Object 48	obj48_shoes
Object 49	Lens
Object 50	obj50_glasses
Object 51	sale_item
Object 52	Candybar
Object 53	obj53_Souvenir_Stand
Object 54	obj54_salesman
Object 55	obj55_mask
Object 56	obj56_counter
Object 57	obj57_Baby_Rune
Object 58	obj58_Multi_Implementeers
Object 59	obj59_ZM_100000
Object 60	obj60_Forever_Gores
Object 61	obj61_popcorn
Object 62	obj62_postcards
Object 63	obj63_chicken_finger
Object 64	obj64_notice
Object 65	Gloves
Object 66	Masks
Object 67	Bodies
Object 68	obj68_Changing_Room
Object 69	obj69_hairy_gloves
Object 70	obj70_spiked_gloves
Object 71	obj71_bloody_gloves
Object 72	obj72_stumpy_gloves
Object 73	obj73_blistered_gloves
Object 74	obj74_scaly_gloves
Object 75	obj75_razor_like_gloves
Object 76	obj76_suction_cupped_gloves
Object 77	obj77_slimy_mask
Object 78	obj78_pock_marked_mask
Object 79	obj79_four_eyed_mask
Object 80	obj80_decomposing_mask
Object 81	obj81_fish_mouthed_mask
Object 82	obj82_lizard_like_mask
Object 83	obj83_fungus_like_mask
Object 84	obj84_humanoid_mask
Object 85	obj85_gelatinous_body_suit
Object 86	obj86_feathered_body_suit
Object 87	obj87_glowing_fur_covered_body_suit
Object 88	obj88_rainbow_striped_body_suit
Object 89	obj89_armor_plated_body_suit
Object 90	obj90_sponge_like_body_suit
Object 91	obj91_blood_oozing_body_suit
Object 92	obj92_semi_transparent_body_suit
Object 93	obj93_mirror
Object 94	obj94__blanknote_
Object 95	obj95_Theater
Object 96	obj96_seats
Object 97	obj97_Seating_Area
Object 98	obj98_seats
Object 99	obj99_Stage
Object 100	obj100_stairs
Object 101	obj101_curtain
Object 102	obj102_bow
Object 103	obj103_footlights
Object 104	obj104_red_lens
Object 105	obj105_blue_lens
Object 106	obj106_green_lens
Object 107	obj107_yellow_lens
Object 108	obj108_black_lens
Object 109	obj109_switch
Object 110	obj110_candle
Object 111	obj111_rubble
Object 112	obj112_roses
Object 113	obj113_Backstage
Object 114	obj114_curtain
Object 115	obj115_sandbags
Object 116	obj116_ropes
Object 117	obj117_steamer_trunk
Object 118	obj118_quint_Zorkmid_coin
Object 119	obj119_travel_stickers
Object 120	obj120_scrims
Object 121	obj121_scenery
Object 122	obj122_costumes
Object 123	obj123_Hall_of_Science_Lobby
Object 124	obj124_reader_boards
Object 125	obj125_letters
Object 126	obj126_picture
Object 127	Shapes
Object 128	obj128_The_Mud_Forum
Object 129	obj129_picture
Object 130	obj130_symbols
Object 131	obj131_circle
Object 132	obj132_square
Object 133	obj133_triangle
Object 134	obj134_pentagon
Object 135	obj135_tree
Object 136	obj136_tinsel
Object 137	obj137_glass_ball
Object 138	obj138_house
Object 139	obj139_mailbox
Object 140	obj140_cardboard
